subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_070 arizona 6 1 Ghiradelli_milk_Almonds.bmp 4.801846e+00 12 999 120 999 999 6.02 1.016667e+03 1.016667e+03 2 22 2.960000
BMS_070 arizona 6 2 Oreos.bmp 9.603735e+00 22 999 220 999 999 10.82 1.016667e+03 1.016667e+03 52 38 0.513333
BMS_070 arizona 6 3 PeanutMMs.bmp 1.440558e+01 22 999 220 999 999 15.62 1.016667e+03 1.016667e+03 49 40 0.640000
BMS_070 arizona 6 4 Riprolls.bmp 1.920739e+01 22 999 220 999 999 20.42 1.016667e+03 1.016667e+03 51 46 0.566667
BMS_070 arizona 6 5 SourSkittles.bmp 2.400923e+01 22 999 220 999 999 25.23 1.016667e+03 1.016667e+03 39 51 1.220000
BMS_070 arizona 6 6 Lollipopred.bmp 2.881108e+01 21 1.145000e+00 210 1.017872e+00 114 30.03 1.016667e+03 1.033333e+03 46 32 0.840000
BMS_070 arizona 6 7 Milano.bmp 3.361293e+01 12 999 120 999 999 34.83 1.016667e+03 1.033333e+03 5 33 2.833333
BMS_070 arizona 6 8 Dots_one.bmp 3.841477e+01 21 1.181394e+00 210 1.033418e+00 114 39.63 1.016667e+03 1.050000e+03 42 14 1.026667
BMS_070 arizona 6 9 FlamingCheetos.bmp 4.321662e+01 11 1.161409e+00 110 1.019993e+00 114 44.43 1.033333e+03 1.050000e+03 11 17 2.486667
BMS_070 arizona 6 10 Ghiradelli_milk.bmp 4.800183e+01 22 999 220 999 999 49.22 1.033333e+03 1.050000e+03 34 21 1.526667
BMS_070 arizona 6 11 Granolabar.bmp 5.280364e+01 12 999 120 999 999 54.02 1.033333e+03 1.050000e+03 23 24 1.846667
BMS_070 arizona 6 12 Chocolate_mm.bmp 5.760549e+01 22 999 220 999 999 58.82 1.033333e+03 1.050000e+03 54 11 0.186667
BMS_070 arizona 6 13 PayDay.bmp 6.240733e+01 11 1.157789e+00 110 1.033447e+00 114 63.62 1.050000e+03 1.050000e+03 9 39 2.573333
BMS_070 arizona 6 14 RitzBitz2.bmp 6.720922e+01 11 1.222759e+00 1100 1.050100e+00 114 68.43 1.000000e+03 1.050000e+03 15 47 2.393333
BMS_070 arizona 6 15 Cheetos.bmp 7.201103e+01 12 999 120 999 999 73.23 1.000000e+03 1.050000e+03 3 8 2.920000
BMS_070 arizona 6 16 FrootLoops.bmp 7.681291e+01 22 999 220 999 999 78.03 1.000000e+03 1.050000e+03 43 19 1.020000
BMS_070 arizona 6 17 Jollyrancherred.bmp 8.161476e+01 21 1.040225e+00 21 1.050103e+00 114 82.83 1.000000e+03 1.066667e+03 40 27 1.206667
BMS_070 arizona 6 18 Crunch.bmp 8.641661e+01 22 999 220 999 999 87.63 1.000000e+03 1.066667e+03 36 12 1.440000
BMS_070 arizona 6 19 Laffytaffyred_one.bmp 9.120174e+01 22 999 220 999 999 92.42 1.000000e+03 1.066667e+03 45 30 0.926667
BMS_070 arizona 6 20 Almondjoy.bmp 9.600363e+01 11 1.171417e+00 110 1.000116e+00 114 97.22 1.016667e+03 1.066667e+03 17 3 2.206667
BMS_070 arizona 6 21 FamousAmos_small.bmp 1.008054e+02 12 999 120 999 999 102.02 1.016667e+03 1.066667e+03 6 15 2.713333
BMS_070 arizona 6 22 Reeses.bmp 1.056073e+02 22 999 220 999 999 106.82 1.016667e+03 1.066667e+03 33 45 1.606667
BMS_070 arizona 6 23 Doritosranch.bmp 1.104092e+02 12 999 120 999 999 111.63 1.016667e+03 1.066667e+03 14 13 2.440000
BMS_070 arizona 6 24 Slimjim.bmp 1.152110e+02 12 999 120 999 999 116.43 1.016667e+03 1.066667e+03 20 49 1.966667
BMS_070 arizona 6 25 Nutterbutter.bmp 1.200128e+02 12 999 120 999 999 121.23 1.016667e+03 1.066667e+03 8 37 2.620000
BMS_070 arizona 6 26 AnimalCrackers.bmp 1.248147e+02 12 999 120 999 999 126.03 1.016667e+03 1.066667e+03 12 4 2.453333
BMS_070 arizona 6 27 KitKat_small.bmp 1.296166e+02 12 999 120 999 999 130.83 1.016667e+03 1.066667e+03 24 29 1.840000
BMS_070 arizona 6 28 Sourpatch.bmp 1.344017e+02 22 999 220 999 999 135.62 1.016667e+03 1.066667e+03 37 52 1.273333
BMS_070 arizona 6 29 Funyuns_small.bmp 1.392035e+02 12 999 120 999 999 140.42 1.016667e+03 1.066667e+03 21 20 1.960000
BMS_070 arizona 6 30 Redvines_small.bmp 1.440054e+02 21 1.186670e+00 210 1.066767e+00 114 145.22 1.016667e+03 1.083333e+03 48 44 0.693333
BMS_070 arizona 6 31 PringlesRed.bmp 1.488072e+02 12 999 120 999 999 150.02 1.016667e+03 1.083333e+03 18 43 2.033333
BMS_070 arizona 6 32 FigNewton_small.bmp 1.536091e+02 22 999 220 999 999 154.83 1.016667e+03 1.083333e+03 55 16 0.060000
BMS_070 arizona 6 33 Dots_one.bmp 1.584109e+02 21 1.066188e+00 21 1.083449e+00 114 159.63 1.016667e+03 1.100000e+03 42 14 1.026667
BMS_070 arizona 6 34 RitzBitz2.bmp 1.632128e+02 11 1.193301e+00 110 1.016786e+00 114 164.43 1.033333e+03 1.100000e+03 15 47 2.393333
BMS_070 arizona 6 35 Chocolate_mm.bmp 1.680146e+02 22 999 220 999 999 169.23 1.033333e+03 1.100000e+03 54 11 0.186667
BMS_070 arizona 6 36 FamousAmos_small.bmp 1.728165e+02 12 999 120 999 999 174.03 1.033333e+03 1.100000e+03 6 15 2.713333
BMS_070 arizona 6 37 Doritosranch.bmp 1.776016e+02 12 999 120 999 999 178.82 1.033333e+03 1.100000e+03 14 13 2.440000
BMS_070 arizona 6 38 KitKat_small.bmp 1.824035e+02 12 999 120 999 999 183.62 1.033333e+03 1.100000e+03 24 29 1.840000
BMS_070 arizona 6 39 AnimalCrackers.bmp 1.872053e+02 12 999 120 999 999 188.42 1.033333e+03 1.100000e+03 12 4 2.453333
BMS_070 arizona 6 40 Laffytaffyred_one.bmp 1.920072e+02 22 999 220 999 999 193.22 1.033333e+03 1.100000e+03 45 30 0.926667
BMS_070 arizona 6 41 PayDay.bmp 1.968257e+02 11 5.394119e-01 11 1.033467e+00 114 198.04 1.050000e+03 1.100000e+03 9 39 2.573333
BMS_070 arizona 6 42 Oreos.bmp 2.016109e+02 22 999 220 999 999 202.83 1.050000e+03 1.100000e+03 52 38 0.513333
BMS_070 arizona 6 43 Redvines_small.bmp 2.064127e+02 21 1.253383e+00 2100 1.100118e+00 114 207.63 1.050000e+03 1.050000e+03 48 44 0.693333
BMS_070 arizona 6 44 Funyuns_small.bmp 2.112146e+02 12 999 120 999 999 212.43 1.050000e+03 1.050000e+03 21 20 1.960000
BMS_070 arizona 6 45 Slimjim.bmp 2.160164e+02 12 999 120 999 999 217.23 1.050000e+03 1.050000e+03 20 49 1.966667
BMS_070 arizona 6 46 Ghiradelli_milk_Almonds.bmp 2.208016e+02 12 999 120 999 999 222.02 1.050000e+03 1.050000e+03 2 22 2.960000
BMS_070 arizona 6 47 Riprolls.bmp 2.256035e+02 22 999 220 999 999 226.82 1.050000e+03 1.050000e+03 51 46 0.566667
BMS_070 arizona 6 48 Lollipopred.bmp 2.304053e+02 21 1.081790e+00 210 1.050104e+00 114 231.62 1.050000e+03 1.066667e+03 46 32 0.840000
BMS_070 arizona 6 49 SourSkittles.bmp 2.352071e+02 22 999 220 999 999 236.42 1.050000e+03 1.066667e+03 39 51 1.220000
BMS_070 arizona 6 50 FlamingCheetos.bmp 2.400090e+02 11 1.246137e+00 1100 1.050090e+00 114 241.23 1.000000e+03 1.066667e+03 11 17 2.486667
BMS_070 arizona 6 51 Milano.bmp 2.448108e+02 12 999 120 999 999 246.03 1.000000e+03 1.066667e+03 5 33 2.833333
BMS_070 arizona 6 52 Nutterbutter.bmp 2.496127e+02 12 999 120 999 999 250.83 1.000000e+03 1.066667e+03 8 37 2.620000
BMS_070 arizona 6 53 FigNewton_small.bmp 2.544145e+02 22 999 220 999 999 255.63 1.000000e+03 1.066667e+03 55 16 0.060000
BMS_070 arizona 6 54 Granolabar.bmp 2.592164e+02 12 999 120 999 999 260.43 1.000000e+03 1.066667e+03 23 24 1.846667
BMS_070 arizona 6 55 Sourpatch.bmp 2.640015e+02 22 999 220 999 999 265.22 1.000000e+03 1.066667e+03 37 52 1.273333
BMS_070 arizona 6 56 Reeses.bmp 2.688034e+02 22 999 220 999 999 270.02 1.000000e+03 1.066667e+03 33 45 1.606667
BMS_070 arizona 6 57 Cheetos.bmp 2.736052e+02 12 999 120 999 999 274.82 1.000000e+03 1.066667e+03 3 8 2.920000
BMS_070 arizona 6 58 Jollyrancherred.bmp 2.784071e+02 21 1.178941e+00 210 1.066764e+00 114 279.62 1.000000e+03 1.083333e+03 40 27 1.206667
BMS_070 arizona 6 59 PringlesRed.bmp 2.832089e+02 12 999 120 999 999 284.43 1.000000e+03 1.083333e+03 18 43 2.033333
BMS_070 arizona 6 60 Ghiradelli_milk.bmp 2.880108e+02 22 999 220 999 999 289.23 1.000000e+03 1.083333e+03 34 21 1.526667
BMS_070 arizona 6 61 Crunch.bmp 2.928126e+02 22 999 220 999 999 294.03 1.000000e+03 1.083333e+03 36 12 1.440000
BMS_070 arizona 6 62 Almondjoy.bmp 2.976145e+02 11 1.182662e+00 110 1.000087e+00 114 298.83 1.016667e+03 1.083333e+03 17 3 2.206667
BMS_070 arizona 6 63 FrootLoops.bmp 3.024163e+02 22 999 220 999 999 303.63 1.016667e+03 1.083333e+03 43 19 1.020000
BMS_070 arizona 6 64 PeanutMMs.bmp 3.072015e+02 22 999 220 999 999 308.42 1.016667e+03 1.083333e+03 49 40 0.640000
