subjid runtrial onsettime Name resp_beep RT order
BMS_071 1 1.043251e+00 AnimalCrackers.bmp 0 2.652567e+00 1 
BMS_071 2 5.252323e+00 Keeblerfudgestripes.bmp 0 1.411484e+00 1 
BMS_071 3 8.192019e+00 Sourpatch.bmp 0 1.063789e+00 1 
BMS_071 4 1.078079e+01 Granolabar.bmp 0 1.027014e+00 1 
BMS_071 5 1.333635e+01 SourSkittles.bmp 1 1.167456e+00 1 
BMS_071 6 1.604225e+01 Nutterbutter.bmp 1 9.095578e-01 1 
BMS_071 7 1.848078e+01 Chocolate_mm.bmp 0 1.111027e+00 1 
BMS_071 8 2.111980e+01 Fritos.bmp 0 1.304071e+00 1 
BMS_071 9 2.395933e+01 PayDay.bmp 0 1.048476e+00 1 
BMS_071 10 2.653163e+01 Goldfish.bmp 0 9.241796e-01 1 
BMS_071 11 2.898638e+01 KitKat_small.bmp 0 8.454234e-01 1 
BMS_071 12 3.135880e+01 Crunch.bmp 0 7.849782e-01 1 
BMS_071 13 3.368017e+01 BabyRuth.bmp 0 9.436404e-01 1 
BMS_071 14 3.615243e+01 PeanutMMs.bmp 0 9.193742e-01 1 
BMS_071 15 3.860744e+01 100grand_small.bmp 1 8.563668e-01 1 
BMS_071 16 4.099593e+01 Lollipopred.bmp 0 7.638875e-01 1 
BMS_071 17 4.328418e+01 Cheetos.bmp 0 8.596305e-01 1 
BMS_071 18 4.567266e+01 PopTartsCinnamon.bmp 0 7.591505e-01 1 
BMS_071 19 4.796093e+01 Whatchamacallit.bmp 0 1.902876e+00 1 
BMS_071 20 5.140166e+01 Ghiradelli_milk.bmp 0 1.102151e+00 1 
BMS_071 21 5.404067e+01 PringlesRed.bmp 0 9.511328e-01 1 
BMS_071 22 5.652964e+01 Funyuns_small.bmp 0 8.541716e-01 1 
BMS_071 23 5.891784e+01 Hersheymilk_several.bmp 0 6.979669e-01 1 
BMS_071 24 6.113900e+01 Milkduds.bmp 0 6.688103e-01 1 
BMS_071 25 6.334397e+01 Oreos.bmp 0 7.118449e-01 1 
BMS_071 26 6.558219e+01 Snickers.bmp 1 9.216200e-01 1 
BMS_071 27 6.803789e+01 Slimjim.bmp 0 7.538897e-01 1 
BMS_071 28 7.032570e+01 CheesyDoritos.bmp 1 8.341109e-01 1 
BMS_071 29 7.269757e+01 Hersheykisses.bmp 0 6.382135e-01 1 
BMS_071 30 7.486881e+01 FigNewton_small.bmp 0 7.390025e-01 1 
BMS_071 31 7.714065e+01 Jollyrancherred.bmp 1 8.911665e-01 1 
BMS_071 32 7.956185e+01 redvines_small.bmp 1 1.485972e+00 1 
BMS_071 33 8.258546e+01 Twix.bmp 1 8.863511e-01 1 
BMS_071 34 8.500761e+01 Riprolls.bmp 0 1.024202e+00 1 
BMS_071 35 8.756276e+01 ChipsAhoy_small.bmp 0 1.909024e+00 1 
BMS_071 36 9.100358e+01 Cheezits.bmp 0 1.332226e+00 1 
BMS_071 37 9.385970e+01 3Musketeers.bmp 0 8.840843e-01 1 
BMS_071 38 9.628130e+01 PopTartsStrawberry.bmp 0 8.945087e-01 1 
BMS_071 39 9.870349e+01 Laysclassic.bmp 0 1.184314e+00 1 
BMS_071 40 1.014263e+02 Dots_one.bmp 0 8.934675e-01 1 
BMS_071 41 1.038483e+02 Ghiradelli_milk_Almonds.bmp 0 9.195187e-01 1 
BMS_071 42 1.063035e+02 FrootLoops.bmp 0 1.128337e+00 1 
BMS_071 43 1.089590e+02 Doritosranch.bmp 1 8.648321e-01 1 
BMS_071 44 1.113476e+02 MilkyWay.bmp 0 1.004186e+00 1 
BMS_071 45 1.138862e+02 Almondjoy.bmp 0 1.505625e+00 1 
BMS_071 46 1.169257e+02 MrGoodbar.bmp 0 7.380729e-01 1 
BMS_071 47 1.191976e+02 TeddyGrahamschocolate.bmp 0 1.026201e+00 1 
BMS_071 48 1.217527e+02 Laffytaffyred_one.bmp 0 1.255140e+00 1 
BMS_071 49 1.245425e+02 Butterfinger.bmp 0 1.169347e+00 1 
BMS_071 50 1.272484e+02 FamousAmos_small.bmp 0 7.033658e-01 1 
BMS_071 51 1.294864e+02 Skittles.bmp 1 8.973682e-01 1 
BMS_071 52 1.319085e+02 RitzBitz2.bmp 0 1.171298e+00 1 
BMS_071 53 1.346141e+02 Reeses.bmp 0 1.089677e+00 1 
BMS_071 54 1.372365e+02 Toberlorone.bmp 0 9.393574e-01 1 
BMS_071 55 1.397084e+02 Milano.bmp 0 6.673634e-01 1 
BMS_071 56 1.419132e+02 FlamingCheetos.bmp 0 6.625973e-01 1 
