subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidIndexLeft bidIndexRight bidLeft bidRight
BMS_075 1 1 1 1 4.801848e+00 FigNewton_small.bmp Milkduds.bmp 21 22 1 b 2 1 0.918704 43 48 0.873333 0.686667 
BMS_075 1 1 1 2 1.080411e+01 Laffytaffyred_one.bmp Butterfinger.bmp 11 12 1 b 1 1 0.831453 8 9 2.006667 1.993333 
BMS_075 1 1 1 3 1.680646e+01 Doritosranch.bmp Reeses.bmp 22 21 0 y 2 1 1.015010 40 39 0.900000 0.980000 
BMS_075 1 1 1 4 2.280873e+01 FigNewton_small.bmp Hersheykisses.bmp 21 22 1 b 2 1 0.951759 43 42 0.873333 0.880000 
BMS_075 1 1 1 5 2.881108e+01 MrGoodbar.bmp Nutterbutter.bmp 21 22 1 b 2 1 0.821503 49 46 0.526667 0.773333 
BMS_075 1 1 1 6 3.481339e+01 Sourpatch.bmp Laffytaffyred_one.bmp 12 11 0 y 1 1 0.811187 17 8 1.726667 2.006667 
BMS_075 1 1 1 7 4.081565e+01 Milkduds.bmp Reeses.bmp 22 21 0 y 2 1 0.827916 48 39 0.686667 0.980000 
BMS_075 1 1 1 8 4.680133e+01 Chocolate_mm.bmp Sourpatch.bmp 11 12 1 b 1 1 0.736237 12 17 1.973333 1.726667 
BMS_075 1 1 1 9 5.280364e+01 Sourpatch.bmp Milano.bmp 12 11 0 y 1 1 0.558016 17 14 1.726667 1.760000 
BMS_075 1 1 1 10 5.880595e+01 MrGoodbar.bmp Milkduds.bmp 21 22 1 y 2 0 0.742612 49 48 0.526667 0.686667 
BMS_075 1 1 1 11 6.480821e+01 Snickers.bmp Milkduds.bmp 21 22 1 b 2 1 0.860365 45 48 0.860000 0.686667 
BMS_075 1 1 1 12 7.081052e+01 Nutterbutter.bmp Reeses.bmp 22 21 0 y 2 1 0.992058 46 39 0.773333 0.980000 
BMS_075 1 1 1 13 7.681283e+01 Twix.bmp Crunch.bmp 11 12 1 y 1 0 0.960755 18 11 1.726667 1.980000 
BMS_075 1 1 1 14 8.281514e+01 Twix.bmp Sourpatch.bmp 11 12 1 b 1 1 1.083430 18 17 1.726667 1.726667 
BMS_075 1 1 1 15 8.881749e+01 Snickers.bmp Hersheykisses.bmp 21 22 1 b 2 1 0.774084 45 42 0.860000 0.880000 
BMS_075 1 1 1 16 9.480308e+01 Doritosranch.bmp MrGoodbar.bmp 22 21 0 b 2 0 1.000505 40 49 0.900000 0.526667 
BMS_075 1 1 1 17 1.008054e+02 Hersheykisses.bmp MrGoodbar.bmp 22 21 0 b 2 0 0.959193 42 49 0.880000 0.526667 
BMS_075 1 1 1 18 1.068077e+02 Oreos.bmp Twix.bmp 12 11 0 b 1 0 0.755869 15 18 1.746667 1.726667 
BMS_075 1 1 1 19 1.128100e+02 Doritosranch.bmp Snickers.bmp 22 21 0 b 2 0 0.922586 40 45 0.900000 0.860000 
BMS_075 1 1 1 20 1.188124e+02 Hersheykisses.bmp Reeses.bmp 22 21 0 y 2 1 0.816184 42 39 0.880000 0.980000 
BMS_075 1 1 1 21 1.248147e+02 Chocolate_mm.bmp Crunch.bmp 11 12 1 y 1 0 0.885927 12 11 1.973333 1.980000 
BMS_075 1 1 1 22 1.308169e+02 Twix.bmp Butterfinger.bmp 11 12 1 y 1 0 0.994578 18 9 1.726667 1.993333 
BMS_075 1 1 1 23 1.368026e+02 Oreos.bmp Laffytaffyred_one.bmp 12 11 0 b 1 0 1.187029 15 8 1.746667 2.006667 
BMS_075 1 1 1 24 1.428049e+02 Nutterbutter.bmp FigNewton_small.bmp 22 21 0 y 2 1 1.218668 46 43 0.773333 0.873333 
BMS_075 1 1 1 25 1.488072e+02 Milano.bmp Butterfinger.bmp 11 12 1 b 1 1 1.129366 14 9 1.760000 1.993333 
BMS_075 1 1 1 26 1.548095e+02 Oreos.bmp Milano.bmp 12 11 0 b 1 0 1.238101 15 14 1.746667 1.760000 
BMS_075 1 1 1 27 1.608118e+02 Snickers.bmp Nutterbutter.bmp 21 22 1 b 2 1 0.981719 45 46 0.860000 0.773333 
BMS_075 1 1 1 28 1.668141e+02 Laffytaffyred_one.bmp Crunch.bmp 11 12 1 b 1 1 1.362472 8 11 2.006667 1.980000 
BMS_075 1 1 1 29 1.728164e+02 Doritosranch.bmp FigNewton_small.bmp 22 21 0 y 2 1 1.146187 40 43 0.900000 0.873333 
BMS_075 1 1 1 30 1.788020e+02 Oreos.bmp Chocolate_mm.bmp 12 11 0 b 1 0 1.131537 15 12 1.746667 1.973333 
BMS_075 1 1 1 31 1.848044e+02 Milano.bmp Crunch.bmp 11 12 1 y 1 0 1.043238 14 11 1.760000 1.980000 
BMS_075 1 1 1 32 1.908067e+02 Butterfinger.bmp Chocolate_mm.bmp 12 11 0 b 1 0 0.976947 9 12 1.993333 1.973333 
BMS_075 1 1 2 33 1.968090e+02 FigNewton_small.bmp Nutterbutter.bmp 21 22 1 b 2 1 0.939541 43 46 0.873333 0.773333 
BMS_075 1 1 2 34 2.028113e+02 Hersheykisses.bmp MrGoodbar.bmp 22 21 0 b 2 0 0.962326 42 49 0.880000 0.526667 
BMS_075 1 1 2 35 2.088136e+02 Sourpatch.bmp Twix.bmp 12 11 0 y 1 1 0.988945 17 18 1.726667 1.726667 
BMS_075 1 1 2 36 2.148159e+02 Sourpatch.bmp Laffytaffyred_one.bmp 12 11 0 y 1 1 0.911757 17 8 1.726667 2.006667 
BMS_075 1 1 2 37 2.208015e+02 Crunch.bmp Chocolate_mm.bmp 12 11 0 b 1 0 1.271034 11 12 1.980000 1.973333 
BMS_075 1 1 2 38 2.268039e+02 Reeses.bmp Milkduds.bmp 21 22 1 b 2 1 1.063723 39 48 0.980000 0.686667 
BMS_075 1 1 2 39 2.328062e+02 Laffytaffyred_one.bmp Oreos.bmp 11 12 1 y 1 0 0.963415 8 15 2.006667 1.746667 
BMS_075 1 1 2 40 2.388085e+02 Chocolate_mm.bmp Butterfinger.bmp 11 12 1 y 1 0 0.929153 12 9 1.973333 1.993333 
BMS_075 1 1 2 41 2.448108e+02 FigNewton_small.bmp Doritosranch.bmp 21 22 1 b 2 1 0.899750 43 40 0.873333 0.900000 
BMS_075 1 1 2 42 2.508131e+02 Snickers.bmp Hersheykisses.bmp 21 22 1 y 2 0 1.161424 45 42 0.860000 0.880000 
BMS_075 1 1 2 43 2.568154e+02 Sourpatch.bmp Milano.bmp 12 11 0 y 1 1 0.919217 17 14 1.726667 1.760000 
BMS_075 1 1 2 44 2.628177e+02 Hersheykisses.bmp Reeses.bmp 22 21 0 y 2 1 0.793872 42 39 0.880000 0.980000 
BMS_075 1 1 2 45 2.688033e+02 Doritosranch.bmp Snickers.bmp 22 21 0 b 2 0 1.092237 40 45 0.900000 0.860000 
