subjid test_comp runnum runtrial itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_090 arizona 5 1 FamousAmos_small.bmp 4.801845e+00 12 999 120 999 999 6.04 9.500000e+02 9.500000e+02 5 15 2.386667
BMS_090 arizona 5 2 Twix.bmp 9.603691e+00 12 999 120 999 999 10.82 9.500000e+02 9.500000e+02 12 55 2.020000
BMS_090 arizona 5 3 Redvines_small.bmp 1.440550e+01 22 999 220 999 999 15.62 9.500000e+02 9.500000e+02 52 44 0.453333
BMS_090 arizona 5 4 Oreos.bmp 1.920734e+01 21 1.140974e+00 210 9.511475e-01 98 20.42 9.500000e+02 9.666667e+02 42 38 1.160000
BMS_090 arizona 5 5 Jollyrancherred.bmp 2.400923e+01 22 999 220 999 999 25.23 9.500000e+02 9.666667e+02 54 27 0.380000
BMS_090 arizona 5 6 Dots_one.bmp 2.881103e+01 22 999 220 999 999 30.03 9.500000e+02 9.666667e+02 55 14 0.340000
BMS_090 arizona 5 7 Laffytaffyred_one.bmp 3.361292e+01 22 999 220 999 999 34.83 9.500000e+02 9.666667e+02 51 30 0.500000
BMS_090 arizona 5 8 Lollipopred.bmp 3.841477e+01 21 1.170588e+00 210 9.667428e-01 98 39.63 9.500000e+02 9.833333e+02 48 32 0.733333
BMS_090 arizona 5 9 Whatchamacallit.bmp 4.321657e+01 21 1.178749e+00 210 9.833964e-01 98 44.43 9.500000e+02 1.000000e+03 40 56 1.193333
BMS_090 arizona 5 10 Toberlorone.bmp 4.800175e+01 21 1.194619e+00 210 1.000091e+00 98 49.22 9.500000e+02 1.016667e+03 46 54 1.033333
BMS_090 arizona 5 11 Hersheymilk_several.bmp 5.280359e+01 22 999 220 999 999 54.02 9.500000e+02 1.016667e+03 49 26 0.640000
BMS_090 arizona 5 12 Skittles.bmp 5.760544e+01 22 999 220 999 999 58.82 9.500000e+02 1.016667e+03 36 48 1.240000
BMS_090 arizona 5 13 Milkduds.bmp 6.240733e+01 22 999 220 999 999 63.62 9.500000e+02 1.016667e+03 43 34 1.133333
BMS_090 arizona 5 14 Milano.bmp 6.720913e+01 11 1.126248e+00 110 9.512754e-01 98 68.43 9.666667e+02 1.016667e+03 17 33 1.980000
BMS_090 arizona 5 15 100grand_small.bmp 7.201098e+01 22 999 220 999 999 73.23 9.666667e+02 1.016667e+03 34 1 1.346667
BMS_090 arizona 5 16 CheesyDoritos.bmp 7.681286e+01 11 1.166487e+00 110 9.667382e-01 98 78.03 9.833333e+02 1.016667e+03 9 7 2.060000
BMS_090 arizona 5 17 Reeses.bmp 8.161467e+01 12 999 120 999 999 82.83 9.833333e+02 1.016667e+03 24 45 1.806667
BMS_090 arizona 5 18 BabyRuth.bmp 8.641656e+01 12 999 120 999 999 87.63 9.833333e+02 1.016667e+03 23 5 1.813333
BMS_090 arizona 5 19 Sourpatch.bmp 9.120173e+01 12 999 120 999 999 92.42 9.833333e+02 1.016667e+03 6 52 2.386667
BMS_090 arizona 5 20 Keeblerfudgestripes.bmp 9.600357e+01 11 1.180749e+00 110 9.834244e-01 98 97.22 1.000000e+03 1.016667e+03 15 28 1.993333
BMS_090 arizona 5 21 Chocolate_mm.bmp 1.008054e+02 22 999 220 999 999 102.02 1.000000e+03 1.016667e+03 37 11 1.200000
BMS_090 arizona 5 22 Riprolls.bmp 1.056073e+02 22 999 220 999 999 106.82 1.000000e+03 1.016667e+03 45 46 1.033333
BMS_090 arizona 5 23 Cheetos.bmp 1.104091e+02 12 999 120 999 999 111.63 1.000000e+03 1.016667e+03 2 8 2.500000
BMS_090 arizona 5 24 Funyuns_small.bmp 1.152109e+02 11 1.211313e+00 1100 1.000063e+00 98 116.43 9.500000e+02 1.016667e+03 11 20 2.020000
BMS_090 arizona 5 25 Cheezits.bmp 1.200128e+02 12 999 120 999 999 121.23 9.500000e+02 1.016667e+03 14 9 1.993333
BMS_090 arizona 5 26 ChipsAhoy_small.bmp 1.248146e+02 12 999 120 999 999 126.03 9.500000e+02 1.016667e+03 18 10 1.973333
BMS_090 arizona 5 27 PeanutMMs.bmp 1.296165e+02 12 999 120 999 999 130.83 9.500000e+02 1.016667e+03 21 40 1.886667
BMS_090 arizona 5 28 Laysclassic.bmp 1.344016e+02 12 999 120 999 999 135.62 9.500000e+02 1.016667e+03 8 31 2.126667
BMS_090 arizona 5 29 AnimalCrackers.bmp 1.392035e+02 12 999 120 999 999 140.42 9.500000e+02 1.016667e+03 20 4 1.960000
BMS_090 arizona 5 30 3Musketeers.bmp 1.440053e+02 22 999 220 999 999 145.22 9.500000e+02 1.016667e+03 33 2 1.440000
BMS_090 arizona 5 31 Nutterbutter.bmp 1.488072e+02 22 999 220 999 999 150.02 9.500000e+02 1.016667e+03 39 37 1.193333
BMS_090 arizona 5 32 Doritosranch.bmp 1.536091e+02 12 999 120 999 999 154.83 9.500000e+02 1.016667e+03 3 13 2.406667
BMS_090 arizona 5 33 Chocolate_mm.bmp 1.584109e+02 22 999 220 999 999 159.63 9.500000e+02 1.016667e+03 37 11 1.200000
BMS_090 arizona 5 34 Jollyrancherred.bmp 1.632127e+02 22 999 220 999 999 164.43 9.500000e+02 1.016667e+03 54 27 0.380000
BMS_090 arizona 5 35 Keeblerfudgestripes.bmp 1.680146e+02 11 1.173755e+00 110 9.500827e-01 98 169.23 9.666667e+02 1.016667e+03 15 28 1.993333
BMS_090 arizona 5 36 Cheetos.bmp 1.728164e+02 12 999 120 999 999 174.03 9.666667e+02 1.016667e+03 2 8 2.500000
BMS_090 arizona 5 37 Toberlorone.bmp 1.776016e+02 21 1.211617e+00 2100 1.016749e+00 98 178.82 9.666667e+02 9.666667e+02 46 54 1.033333
BMS_090 arizona 5 38 Milano.bmp 1.824034e+02 11 1.175871e+00 110 9.667396e-01 98 183.62 9.833333e+02 9.666667e+02 17 33 1.980000
BMS_090 arizona 5 39 Milkduds.bmp 1.872053e+02 22 999 220 999 999 188.42 9.833333e+02 9.666667e+02 43 34 1.133333
BMS_090 arizona 5 40 Lollipopred.bmp 1.920071e+02 21 1.162225e+00 210 9.667466e-01 98 193.22 9.833333e+02 9.833333e+02 48 32 0.733333
BMS_090 arizona 5 41 Twix.bmp 1.968090e+02 12 999 120 999 999 198.03 9.833333e+02 9.833333e+02 12 55 2.020000
BMS_090 arizona 5 42 100grand_small.bmp 2.016108e+02 22 999 220 999 999 202.83 9.833333e+02 9.833333e+02 34 1 1.346667
BMS_090 arizona 5 43 Doritosranch.bmp 2.064127e+02 12 999 120 999 999 207.63 9.833333e+02 9.833333e+02 3 13 2.406667
BMS_090 arizona 5 44 Oreos.bmp 2.112145e+02 21 1.196842e+00 210 9.833971e-01 98 212.43 9.833333e+02 1.000000e+03 42 38 1.160000
