subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_1001 1 9 CheesyDoritos.bmp 1.395489e+00 24 999000 240 999000  2.412957e+00 750.00 750.00 0.51 51 
BM2_1001 1 9 PeanutMMs.bmp 4.380996e+00 22 9.279155e+02 220 7.500739e+02 b 5.398828e+00 750.00 766.67 0.99 31 
BM2_1001 1 9 MilkyWay.bmp 8.384761e+00 12 999000 120 999000  9.402297e+00 750.00 766.67 2.00 19 
BM2_1001 1 9 PopTartsCinnamon.bmp 1.038640e+01 11 9.625109e+02 110 7.500729e+02 b 1.140389e+01 766.67 766.67 1.99 36 
BM2_1001 1 9 Doritosranch.bmp 1.238816e+01 12 999000 120 999000  1.340561e+01 766.67 766.67 1.49 49 
BM2_1001 1 9 Funyuns_small.bmp 1.639156e+01 24 999000 240 999000  1.740913e+01 766.67 766.67 1.01 14 
BM2_1001 1 9 Goldfish.bmp 1.839318e+01 24 999000 240 999000  1.941069e+01 766.67 766.67 0.97 58 
BM2_1001 1 9 Hersheymilk_several.bmp 2.338047e+01 24 999000 240 999000  2.439827e+01 766.67 766.67 0.69 15 
BM2_1001 1 9 KitKat_small.bmp 2.538244e+01 22 9.744717e+02 220 7.667251e+02 b 2.639989e+01 766.67 783.33 0.87 33 
BM2_1001 1 9 SourSkittles.bmp 2.838495e+01 24 999000 240 999000  2.940243e+01 766.67 783.33 0.57 46 
BM2_1001 1 9 PopTartsStrawberry.bmp 3.138750e+01 11 9.453905e+02 110 7.667146e+02 b 3.240499e+01 783.33 783.33 1.50 5 
BM2_1001 1 9 RiceKrispyTreat_small.bmp 3.539083e+01 24 999000 240 999000  3.640843e+01 783.33 783.33 1.01 22 
BM2_1001 1 9 Dots_one.bmp 3.839348e+01 12 999000 120 999000  3.941099e+01 783.33 783.33 1.45 35 
BM2_1001 1 9 RitzBitz2.bmp 4.039510e+01 11 9.778150e+02 110 7.833839e+02 b 4.141270e+01 800.00 783.33 1.52 9 
BM2_1001 1 9 Reeses.bmp 4.338071e+01 12 999000 120 999000  4.439852e+01 800.00 783.33 1.03 40 
BM2_1001 1 9 PayDay.bmp 4.738435e+01 11 9.965667e+02 110 8.000482e+02 b 4.840193e+01 816.67 783.33 1.52 42 
BM2_1001 1 9 3Musketeers.bmp 5.038695e+01 22 9.939665e+02 220 7.834064e+02 b 5.140443e+01 816.67 800.00 0.82 16 
BM2_1001 1 9 Riprolls.bmp 5.238860e+01 24 999000 240 999000  5.340606e+01 816.67 800.00 0.57 55 
BM2_1001 1 9 Snickers.bmp 5.439034e+01 12 999000 120 999000  5.540779e+01 816.67 800.00 1.53 18 
BM2_1001 1 9 Crunch.bmp 5.939454e+01 12 999000 120 999000  6.041202e+01 816.67 800.00 1.51 26 
BM2_1001 1 9 Jollyrancherred.bmp 6.338096e+01 24 999000 240 999000  6.439871e+01 816.67 800.00 0.55 1 
BM2_1001 1 9 Nutterbutter.bmp 6.738460e+01 24 999000 240 999000  6.840208e+01 816.67 800.00 0.81 17 
BM2_1001 1 9 Keeblerfudgestripes.bmp 7.338971e+01 11 8.952128e+02 110 8.167196e+02 b 7.440717e+01 833.33 800.00 1.95 37 
BM2_1001 1 9 Hersheykisses.bmp 7.539138e+01 22 1.277540e+03 2200 8.000529e+02 b 7.640891e+01 833.33 750.00 0.73 3 
BM2_1001 1 9 Milano.bmp 7.739304e+01 11 1.027879e+03 1100 8.333834e+02 b 7.841060e+01 783.33 750.00 2.00 25 
BM2_1001 1 9 Cheezits.bmp 7.939481e+01 12 999000 120 999000  8.041227e+01 783.33 750.00 2.00 34 
BM2_1001 1 9 TeddyGrahamschocolate.bmp 8.139648e+01 12 999000 120 999000  8.241395e+01 783.33 750.00 1.99 38 
BM2_1001 1 9 Milkduds.bmp 8.538319e+01 24 999000 240 999000  8.640063e+01 783.33 750.00 0.98 56 
BM2_1001 1 9 MrsFields.bmp 8.738485e+01 12 999000 120 999000  8.840238e+01 783.33 750.00 1.50 41 
BM2_1001 1 9 Granolabar.bmp 9.138820e+01 24 999000 240 999000  9.240578e+01 783.33 750.00 1.02 54 
BM2_1001 1 9 Ghiradelli_milk_Almonds.bmp 9.338986e+01 12 999000 120 999000  9.440740e+01 783.33 750.00 2.99 7 
BM2_1001 1 9 Lindt_small.bmp 9.539158e+01 12 999000 120 999000  9.640911e+01 783.33 750.00 2.41 2 
BM2_1001 1 9 PringlesRed.bmp 9.739336e+01 24 999000 240 999000  9.841085e+01 783.33 750.00 0.37 52 
BM2_1001 1 9 100grand_small.bmp 1.023806e+02 24 999000 240 999000  1.033984e+02 783.33 750.00 0.85 32 
BM2_1001 1 9 Ghiradelli_milk.bmp 1.043825e+02 12 999000 120 999000  1.054001e+02 783.33 750.00 2.01 20 
BM2_1001 1 9 Laysclassic.bmp 1.063842e+02 24 999000 240 999000  1.074018e+02 783.33 750.00 1.03 28 
BM2_1001 1 9 Oreos.bmp 1.093868e+02 12 999000 120 999000  1.104043e+02 783.33 750.00 1.53 23 
BM2_1001 1 9 FlamingCheetos.bmp 1.163927e+02 24 999000 240 999000  1.174102e+02 783.33 750.00 1.01 11 
