subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_983 1 1 PeanutMMs.bmp 1.407580e+00 12 999000 120 999000  2.424528e+00 750.00 750.00 1.50 14 
BM2_983 1 1 Hersheymilk_several.bmp 6.394499e+00 22 1.209831e+03 2200 7.500756e+02 b 7.412061e+00 750.00 700.00 0.30 29 
BM2_983 1 1 Whatchamacallit.bmp 8.396216e+00 24 999000 240 999000  9.413731e+00 750.00 700.00 0.11 5 
BM2_983 1 1 RiceKrispyTreat_small.bmp 1.039793e+01 12 999000 120 999000  1.141541e+01 750.00 700.00 1.57 51 
BM2_983 1 1 MrsFields.bmp 1.638604e+01 24 999000 240 999000  1.740382e+01 750.00 700.00 0.74 36 
BM2_983 1 1 Funyuns_small.bmp 1.838804e+01 11 9.442939e+02 110 7.500680e+02 b 1.940553e+01 766.67 700.00 1.97 24 
BM2_983 1 1 Twix.bmp 2.139054e+01 12 999000 120 999000  2.240802e+01 766.67 700.00 1.49 32 
BM2_983 1 1 Goldfish.bmp 2.339221e+01 11 1.020125e+03 1100 7.667260e+02 b 2.440978e+01 716.67 700.00 1.90 54 
BM2_983 1 1 redvines_small.bmp 2.739564e+01 24 999000 240 999000  2.841311e+01 716.67 700.00 0.05 13 
BM2_983 1 1 Slimjim.bmp 2.939732e+01 12 999000 120 999000  3.041487e+01 716.67 700.00 2.03 48 
BM2_983 1 1 Keeblerfudgestripes.bmp 3.440162e+01 12 999000 120 999000  3.541900e+01 716.67 700.00 1.59 50 
BM2_983 1 1 Butterfinger.bmp 4.139077e+01 24 999000 240 999000  4.240828e+01 716.67 700.00 0.03 6 
BM2_983 1 1 Sourpatch.bmp 4.339250e+01 12 999000 120 999000  4.440998e+01 716.67 700.00 1.98 17 
BM2_983 1 1 CheesyDoritos.bmp 4.639497e+01 11 9.133707e+02 110 7.167294e+02 b 4.741246e+01 733.33 700.00 1.51 37 
BM2_983 1 1 Milano.bmp 4.939753e+01 12 999000 120 999000  5.041510e+01 733.33 700.00 2.51 40 
BM2_983 1 1 Toberlorone.bmp 5.340096e+01 12 999000 120 999000  5.441841e+01 733.33 700.00 1.97 58 
BM2_983 1 1 Granolabar.bmp 5.738766e+01 12 999000 120 999000  5.840511e+01 733.33 700.00 1.03 21 
BM2_983 1 1 Jollyranchergreen.bmp 6.139098e+01 24 999000 240 999000  6.240856e+01 733.33 700.00 0.24 15 
BM2_983 1 1 3Musketeers.bmp 6.439361e+01 24 999000 240 999000  6.541109e+01 733.33 700.00 0.11 56 
BM2_983 1 1 FrootLoops.bmp 7.039865e+01 12 999000 120 999000  7.141611e+01 733.33 700.00 1.13 25 
BM2_983 1 1 Ghiradelli_milk.bmp 7.240036e+01 12 999000 120 999000  7.341785e+01 733.33 700.00 1.95 18 
BM2_983 1 1 Cheezits.bmp 7.538591e+01 12 999000 120 999000  7.640373e+01 733.33 700.00 1.02 45 
BM2_983 1 1 Doritosranch.bmp 7.738792e+01 11 9.524127e+02 110 7.333945e+02 b 7.840543e+01 750.00 700.00 1.49 38 
BM2_983 1 1 Milkduds.bmp 7.938957e+01 24 999000 240 999000  8.040710e+01 750.00 700.00 0.83 16 
BM2_983 1 1 AnimalCrackers.bmp 8.139126e+01 24 999000 240 999000  8.240876e+01 750.00 700.00 0.53 12 
BM2_983 1 1 Jollyrancherred.bmp 8.439387e+01 22 9.544642e+02 220 7.000677e+02 b 8.541097e+01 750.00 716.67 0.20 34 
BM2_983 1 1 Reeses.bmp 8.839719e+01 12 999000 120 999000  8.941433e+01 750.00 716.67 1.06 31 
BM2_983 1 1 Laysclassic.bmp 9.039884e+01 22 9.894937e+02 220 7.167196e+02 b 9.141640e+01 750.00 733.33 0.70 44 
BM2_983 1 1 100grand_small.bmp 9.240056e+01 24 999000 240 999000  9.341812e+01 750.00 733.33 0.30 35 
BM2_983 1 1 Snickers.bmp 9.440230e+01 24 999000 240 999000  9.541979e+01 750.00 733.33 1.01 23 
BM2_983 1 1 TeddyGrahamschocolate.bmp 9.638724e+01 12 999000 120 999000  9.740473e+01 750.00 733.33 1.07 8 
BM2_983 1 1 RitzBitz2.bmp 9.838902e+01 22 9.512955e+02 220 7.333926e+02 b 9.940609e+01 750.00 750.00 0.53 39 
BM2_983 1 1 Hersheykisses.bmp 1.023924e+02 24 999000 240 999000  1.034095e+02 750.00 750.00 0.53 42 
BM2_983 1 1 KitKat_small.bmp 1.063957e+02 11 1.008595e+03 1100 7.500585e+02 b 1.074132e+02 700.00 750.00 1.07 53 
BM2_983 1 1 Cheetos.bmp 1.083975e+02 24 999000 240 999000  1.094146e+02 700.00 750.00 0.83 7 
BM2_983 1 1 PopTartsStrawberry.bmp 1.103991e+02 24 999000 240 999000  1.114166e+02 700.00 750.00 0.87 26 
BM2_983 1 1 BabyRuth.bmp 1.124008e+02 22 1.083543e+03 2200 7.500687e+02 b 1.134183e+02 700.00 700.00 0.83 20 
BM2_983 1 1 PringlesRed.bmp 1.143856e+02 12 999000 120 999000  1.154031e+02 700.00 700.00 1.06 1 
BM2_983 1 1 Crunch.bmp 1.203908e+02 12 999000 120 999000  1.214084e+02 700.00 700.00 1.05 3 
BM2_983 1 1 Riprolls.bmp 1.223926e+02 12 999000 120 999000  1.234101e+02 700.00 700.00 1.95 46 
BM2_983 1 1 FigNewton_small.bmp 1.243943e+02 24 999000 240 999000  1.254115e+02 700.00 700.00 0.32 28 
BM2_983 1 1 MrGoodbar.bmp 1.263959e+02 12 999000 120 999000  1.274132e+02 700.00 700.00 2.47 60 
BM2_983 1 1 Oreos.bmp 1.293985e+02 24 999000 240 999000  1.304159e+02 700.00 700.00 0.87 9 
BM2_983 1 1 PayDay.bmp 1.314002e+02 24 999000 240 999000  1.324177e+02 700.00 700.00 0.07 11 
BM2_983 1 1 FamousAmos_small.bmp 1.383894e+02 11 9.029146e+02 110 7.000565e+02 b 1.394067e+02 716.67 700.00 1.75 33 
BM2_983 1 1 Lindt_small.bmp 1.403911e+02 11 1.037275e+03 1100 7.167307e+02 b 1.414086e+02 666.67 700.00 1.54 2 
BM2_983 1 1 Laffytaffyred_one.bmp 1.443946e+02 24 999000 240 999000  1.454120e+02 666.67 700.00 0.03 52 
