subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_103	 1	 13	 BisliOnion.bmp	 1.568203e+03	 24	 999000	 240	 999000	 999	 1.569221e+03	 816.67	 816.67	 39.00	 11	 4.91	 
MRI_snacks_103	 1	 13	 Hit.bmp	 1.573192e+03	 24	 999000	 240	 999000	 999	 1.574210e+03	 816.67	 816.67	 42.00	 57	 4.82	 
MRI_snacks_103	 1	 13	 CrunchBisquitBrown3.bmp	 1.575194e+03	 12	 999000	 120	 999000	 999	 1.576215e+03	 816.67	 816.67	 14.00	 58	 9.02	 
MRI_snacks_103	 1	 13	 Snickers.bmp	 1.577196e+03	 12	 999000	 120	 999000	 999	 1.578214e+03	 816.67	 816.67	 19.00	 9	 7.07	 
MRI_snacks_103	 1	 13	 BagaleShtuhim.bmp	 1.583203e+03	 24	 999000	 240	 999000	 999	 1.584221e+03	 816.67	 816.67	 40.00	 8	 4.89	 
MRI_snacks_103	 1	 13	 ChocolateParaMarir2.bmp	 1.585206e+03	 24	 999000	 240	 999000	 999	 1.586223e+03	 816.67	 816.67	 56.00	 10	 0.60	 
MRI_snacks_103	 1	 13	 ClickBlackWhite3.bmp	 1.588192e+03	 12	 999000	 120	 999000	 999	 1.589212e+03	 816.67	 816.67	 8.00	 1	 9.13	 
MRI_snacks_103	 1	 13	 BisliBbq.bmp	 1.590194e+03	 22	 1.051088e+03	 2200	 8.167296e+02	 98	 1.591230e+03	 816.67	 766.67	 47.00	 45	 3.78	 
MRI_snacks_103	 1	 13	 KifkefMaklot2.bmp	 1.594199e+03	 22	 9.167769e+02	 220	 7.667166e+02	 98	 1.595235e+03	 816.67	 783.33	 52.00	 5	 1.76	 
MRI_snacks_103	 1	 13	 ClickXLbrown4.bmp	 1.596201e+03	 12	 999000	 120	 999000	 999	 1.597219e+03	 816.67	 783.33	 22.00	 56	 6.98	 
MRI_snacks_103	 1	 13	 KinderJoy.bmp	 1.601207e+03	 12	 999000	 120	 999000	 999	 1.602225e+03	 816.67	 783.33	 21.00	 14	 6.98	 
MRI_snacks_103	 1	 13	 Mentos.bmp	 1.608198e+03	 12	 999000	 120	 999000	 999	 1.609216e+03	 816.67	 783.33	 17.00	 52	 8.04	 
MRI_snacks_103	 1	 13	 WerthersOriginal.bmp	 1.610200e+03	 11	 1.015135e+03	 1100	 8.167275e+02	 98	 1.611235e+03	 766.67	 783.33	 18.00	 44	 7.56	 
MRI_snacks_103	 1	 13	 Tortit.bmp	 1.613204e+03	 12	 999000	 120	 999000	 999	 1.614221e+03	 766.67	 783.33	 11.00	 33	 9.13	 
MRI_snacks_103	 1	 13	 PesekZman.bmp	 1.616207e+03	 12	 999000	 120	 999000	 999	 1.617225e+03	 766.67	 783.33	 9.00	 18	 9.13	 
MRI_snacks_103	 1	 13	 Smarties.bmp	 1.620195e+03	 24	 999000	 240	 999000	 999	 1.621212e+03	 766.67	 783.33	 48.00	 24	 3.76	 
MRI_snacks_103	 1	 13	 Cheetos.bmp	 1.624199e+03	 11	 9.104146e+02	 110	 7.667172e+02	 98	 1.625236e+03	 783.33	 783.33	 15.00	 49	 8.13	 
MRI_snacks_103	 1	 13	 Halva2.bmp	 1.628204e+03	 24	 999000	 240	 999000	 999	 1.629222e+03	 783.33	 783.33	 54.00	 59	 1.64	 
MRI_snacks_103	 1	 13	 KinderBuenoBrown3.bmp	 1.631207e+03	 12	 999000	 120	 999000	 999	 1.632227e+03	 783.33	 783.33	 3.00	 32	 9.98	 
MRI_snacks_103	 1	 13	 CrunchBisquitWhite2.bmp	 1.637197e+03	 12	 999000	 120	 999000	 999	 1.638215e+03	 783.33	 783.33	 4.00	 39	 9.96	 
MRI_snacks_103	 1	 13	 Popco.bmp	 1.639199e+03	 24	 999000	 240	 999000	 999	 1.640217e+03	 783.33	 783.33	 43.00	 12	 3.89	 
MRI_snacks_103	 1	 13	 HappyHippo.bmp	 1.642203e+03	 11	 9.414115e+02	 110	 7.833899e+02	 98	 1.643238e+03	 800.00	 783.33	 13.00	 28	 9.07	 
MRI_snacks_103	 1	 13	 Taami.bmp	 1.644205e+03	 12	 999000	 120	 999000	 999	 1.645223e+03	 800.00	 783.33	 16.00	 29	 8.11	 
