subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_108	 2	 15	 Bamba.bmp	 1.752350e+03	 24	 999000	 240	 999000	 999	 1.753370e+03	 816.67	 683.33	 42.00	 22	 2.71	 
MRI_snacks_108	 2	 15	 Loacker.bmp	 1.755353e+03	 24	 999000	 240	 999000	 999	 1.756371e+03	 816.67	 683.33	 41.00	 11	 2.76	 
MRI_snacks_108	 2	 15	 BisliBbq.bmp	 1.757338e+03	 24	 999000	 240	 999000	 999	 1.758357e+03	 816.67	 683.33	 56.00	 41	 0.60	 
MRI_snacks_108	 2	 15	 DoritosNatural.bmp	 1.759341e+03	 24	 999000	 240	 999000	 999	 1.760359e+03	 816.67	 683.33	 50.00	 31	 1.64	 
MRI_snacks_108	 2	 15	 KinderBuenoWhite2.bmp	 1.761343e+03	 11	 9.834544e+02	 110	 8.167384e+02	 98	 1.762379e+03	 833.33	 683.33	 8.00	 28	 5.96	 
MRI_snacks_108	 2	 15	 Kitkat.bmp	 1.764347e+03	 12	 999000	 120	 999000	 999	 1.765364e+03	 833.33	 683.33	 12.00	 37	 5.82	 
MRI_snacks_108	 2	 15	 Egozi.bmp	 1.766349e+03	 24	 999000	 240	 999000	 999	 1.767367e+03	 833.33	 683.33	 53.00	 26	 0.67	 
MRI_snacks_108	 2	 15	 Apropo.bmp	 1.770353e+03	 24	 999000	 240	 999000	 999	 1.771371e+03	 833.33	 683.33	 39.00	 56	 3.27	 
MRI_snacks_108	 2	 15	 BambaNugat.bmp	 1.772339e+03	 11	 1.113495e+03	 1100	 8.333845e+02	 98	 1.773375e+03	 783.33	 683.33	 9.00	 29	 5.93	 
MRI_snacks_108	 2	 15	 ClickXLwhite4.bmp	 1.777345e+03	 12	 999000	 120	 999000	 999	 1.778362e+03	 783.33	 683.33	 20.00	 38	 4.91	 
MRI_snacks_108	 2	 15	 KinderBuenoBrown3.bmp	 1.779347e+03	 11	 9.557747e+02	 110	 7.833843e+02	 98	 1.780383e+03	 800.00	 683.33	 16.00	 36	 5.27	 
