subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_110	 2	 1	 CrunchBisquitWhite2.bmp	 1.243957e+00	 12	 999000	 120	 999000	 999	 2.262529e+00	 750.00	 750.00	 6.00	 27	 9.13	 
MRI_snacks_110	 2	 1	 Halva2.bmp	 4.230156e+00	 12	 999000	 120	 999000	 999	 5.249037e+00	 750.00	 750.00	 21.00	 47	 5.96	 
MRI_snacks_110	 2	 1	 ChocolateParaMilk3.bmp	 8.234657e+00	 11	 9.982150e+02	 110	 7.500625e+02	 98	 9.269314e+00	 766.67	 750.00	 14.00	 3	 7.04	 
MRI_snacks_110	 2	 1	 KinderBuenoBrown3.bmp	 1.023686e+01	 12	 999000	 120	 999000	 999	 1.125589e+01	 766.67	 750.00	 10.00	 34	 8.09	 
MRI_snacks_110	 2	 1	 BisliGrill.bmp	 1.223909e+01	 24	 999000	 240	 999000	 999	 1.325833e+01	 766.67	 750.00	 50.00	 44	 0.67	 
MRI_snacks_110	 2	 1	 SkittlesFruits2.bmp	 1.622676e+01	 22	 1.006454e+03	 2200	 7.500632e+02	 98	 1.726392e+01	 766.67	 700.00	 48.00	 37	 0.67	 
MRI_snacks_110	 2	 1	 ClickBalls5.bmp	 1.822926e+01	 12	 999000	 120	 999000	 999	 1.924874e+01	 766.67	 700.00	 18.00	 17	 5.98	 
MRI_snacks_110	 2	 1	 Mentos.bmp	 2.323471e+01	 24	 999000	 240	 999000	 999	 2.425357e+01	 766.67	 700.00	 45.00	 5	 0.67	 
MRI_snacks_110	 2	 1	 Mars.bmp	 2.523702e+01	 12	 999000	 120	 999000	 999	 2.625657e+01	 766.67	 700.00	 3.00	 35	 9.18	 
MRI_snacks_110	 2	 1	 Bamba.bmp	 2.824046e+01	 12	 999000	 120	 999000	 999	 2.925989e+01	 766.67	 700.00	 22.00	 24	 5.93	 
MRI_snacks_110	 2	 1	 GumiSnakes3.bmp	 3.122714e+01	 24	 999000	 240	 999000	 999	 3.224642e+01	 766.67	 700.00	 42.00	 53	 1.69	 
MRI_snacks_110	 2	 1	 DoritosNatural.bmp	 3.523154e+01	 22	 9.650413e+02	 220	 7.000522e+02	 98	 3.626785e+01	 766.67	 716.67	 46.00	 19	 0.67	 
MRI_snacks_110	 2	 1	 ClickXLwhite4.bmp	 3.823488e+01	 11	 1.074334e+03	 1100	 7.667117e+02	 98	 3.926953e+01	 716.67	 716.67	 11.00	 25	 8.07	 
MRI_snacks_110	 2	 1	 BabyDoll.bmp	 4.023710e+01	 24	 999000	 240	 999000	 999	 4.125485e+01	 716.67	 716.67	 58.00	 43	 0.62	 
MRI_snacks_110	 2	 1	 ChocolateParaCookies5.bmp	 4.324046e+01	 11	 9.314726e+02	 110	 7.167109e+02	 98	 4.427492e+01	 733.33	 716.67	 8.00	 14	 8.11	 
MRI_snacks_110	 2	 1	 SkittlesSour4.bmp	 4.722830e+01	 24	 999000	 240	 999000	 999	 4.824734e+01	 733.33	 716.67	 56.00	 16	 0.62	 
MRI_snacks_110	 2	 1	 KinderBuenoWhite2.bmp	 5.023159e+01	 12	 999000	 120	 999000	 999	 5.125118e+01	 733.33	 716.67	 5.00	 6	 9.13	 
MRI_snacks_110	 2	 1	 DoritosSourSpicy.bmp	 5.223402e+01	 24	 999000	 240	 999000	 999	 5.325297e+01	 733.33	 716.67	 41.00	 57	 1.71	 
MRI_snacks_110	 2	 1	 Dubonim.bmp	 5.423616e+01	 22	 8.737783e+02	 220	 7.167230e+02	 98	 5.527171e+01	 733.33	 733.33	 43.00	 58	 1.69	 
MRI_snacks_110	 2	 1	 ClickXLbrown4.bmp	 5.924175e+01	 11	 1.018550e+03	 1100	 7.334131e+02	 98	 6.027683e+01	 683.33	 733.33	 16.00	 21	 7.04	 
MRI_snacks_110	 2	 1	 Kitkat.bmp	 6.322952e+01	 12	 999000	 120	 999000	 999	 6.424915e+01	 683.33	 733.33	 7.00	 8	 8.11	 
MRI_snacks_110	 2	 1	 PesekZman.bmp	 6.723402e+01	 12	 999000	 120	 999000	 999	 6.825356e+01	 683.33	 733.33	 20.00	 56	 5.98	 
MRI_snacks_110	 2	 1	 Smarties.bmp	 7.324071e+01	 24	 999000	 240	 999000	 999	 7.426025e+01	 683.33	 733.33	 57.00	 33	 0.62	 
MRI_snacks_110	 2	 1	 Tictac.bmp	 7.522603e+01	 22	 1.010018e+03	 2200	 7.333782e+02	 98	 7.626231e+01	 683.33	 683.33	 54.00	 48	 0.64	 
MRI_snacks_110	 2	 1	 CrunchBisquitBrown3.bmp	 7.722854e+01	 12	 999000	 120	 999000	 999	 7.824806e+01	 683.33	 683.33	 4.00	 38	 9.16	 
MRI_snacks_110	 2	 1	 Mekupelet.bmp	 7.923079e+01	 12	 999000	 120	 999000	 999	 8.025056e+01	 683.33	 683.33	 15.00	 4	 7.04	 
MRI_snacks_110	 2	 1	 GumiWine2.bmp	 8.123309e+01	 24	 999000	 240	 999000	 999	 8.225256e+01	 683.33	 683.33	 39.00	 52	 1.71	 
MRI_snacks_110	 2	 1	 Shugi.bmp	 8.523753e+01	 22	 9.113416e+02	 220	 6.833794e+02	 98	 8.627215e+01	 683.33	 700.00	 49.00	 39	 0.67	 
MRI_snacks_110	 2	 1	 BisliOnion.bmp	 8.723977e+01	 24	 999000	 240	 999000	 999	 8.825867e+01	 683.33	 700.00	 52.00	 23	 0.64	 
MRI_snacks_110	 2	 1	 Hit.bmp	 9.122754e+01	 22	 9.591034e+02	 220	 7.000482e+02	 98	 9.226264e+01	 683.33	 716.67	 51.00	 10	 0.64	 
MRI_snacks_110	 2	 1	 Bounty.bmp	 9.322981e+01	 11	 9.569472e+02	 110	 6.833784e+02	 98	 9.426554e+01	 700.00	 716.67	 9.00	 18	 8.09	 
MRI_snacks_110	 2	 1	 Popco.bmp	 9.523200e+01	 24	 999000	 240	 999000	 999	 9.625158e+01	 700.00	 716.67	 44.00	 20	 1.67	 
MRI_snacks_110	 2	 1	 BisliPizza3.bmp	 9.723426e+01	 24	 999000	 240	 999000	 999	 9.825365e+01	 700.00	 716.67	 47.00	 22	 0.67	 
MRI_snacks_110	 2	 1	 BambaSweet.bmp	 1.022399e+02	 24	 999000	 240	 999000	 999	 1.032591e+02	 700.00	 716.67	 53.00	 40	 0.64	 
MRI_snacks_110	 2	 1	 Tortit.bmp	 1.042252e+02	 24	 999000	 240	 999000	 999	 1.052434e+02	 700.00	 716.67	 55.00	 1	 0.62	 
MRI_snacks_110	 2	 1	 Cheetos.bmp	 1.062277e+02	 12	 999000	 120	 999000	 999	 1.072469e+02	 700.00	 716.67	 12.00	 26	 8.04	 
MRI_snacks_110	 2	 1	 DoritosGrill.bmp	 1.092310e+02	 24	 999000	 240	 999000	 999	 1.102502e+02	 700.00	 716.67	 40.00	 54	 1.71	 
MRI_snacks_110	 2	 1	 Taami.bmp	 1.162388e+02	 12	 999000	 120	 999000	 999	 1.172581e+02	 700.00	 716.67	 19.00	 55	 5.98	 
MRI_snacks_110	 2	 1	 Snickers.bmp	 1.202266e+02	 11	 9.738837e+02	 110	 7.000429e+02	 98	 1.212629e+02	 716.67	 716.67	 17.00	 46	 7.02	 
MRI_snacks_110	 2	 1	 ChocolateParaMarir2.bmp	 1.272345e+02	 12	 999000	 120	 999000	 999	 1.282529e+02	 716.67	 716.67	 13.00	 59	 7.09	 
