subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
MRI_snacks_112	2	13	Halva2.bmp	53	1	1	1	3.100122e-02	1	1.617484e+00	0	5	2.183431e+00	5	1.465143e+00	
MRI_snacks_112	2	56	bagaleShminiot.bmp	0	2	0	5	5.203400e+00	5	2.420319e+00	0	5	8.156820e+00	5	1.229507e+00	
MRI_snacks_112	2	17	KinderBuenoWhite2.bmp	17	3	1	1	1.094321e+01	1	1.780845e+00	1	1	1.326253e+01	1	1.099034e+00	
MRI_snacks_112	2	27	Twix.bmp	15	4	1	1	1.591546e+01	1	1.083715e+00	0	5	1.753400e+01	5	9.277256e-01	
MRI_snacks_112	2	48	MikeAndIke.bmp	0	5	0	5	2.002001e+01	5	1.304369e+00	0	5	2.185545e+01	5	4.939599e-01	
MRI_snacks_112	2	14	HappyHippo.bmp	10	6	1	1	2.390764e+01	1	1.066908e+00	0	5	2.550943e+01	5	5.651361e-01	
MRI_snacks_112	2	41	DoritosMenupahBbq.bmp	0	7	0	2	2.762854e+01	2	7.771547e+00	0	5	3.593786e+01	5	1.862244e+00	
MRI_snacks_112	2	23	Snickers.bmp	5	8	1	1	3.935834e+01	1	1.029357e+00	0	5	4.092674e+01	5	7.235226e-01	
MRI_snacks_112	2	35	ChocolateParaNuts2.bmp	0	9	0	5	4.321257e+01	5	1.537876e+00	0	5	4.528156e+01	5	9.439478e-01	
MRI_snacks_112	2	32	Bisquit.bmp	0	10	0	5	4.778447e+01	5	9.411463e-01	0	5	4.926940e+01	5	3.062476e-01	
MRI_snacks_112	2	5	BisliOnion.bmp	56	11	1	1	5.113819e+01	1	1.062582e+00	0	5	5.274008e+01	5	5.232554e-01	
MRI_snacks_112	2	49	MilkeyWay.bmp	0	12	0	5	5.482558e+01	5	1.400386e+00	0	5	5.676123e+01	5	2.377382e+00	
MRI_snacks_112	2	45	KifkefMaklotChocolate.bmp	0	13	0	5	6.069889e+01	5	1.389852e+00	0	5	6.263439e+01	5	9.169007e-01	
MRI_snacks_112	2	37	ClickCornflakes.bmp	0	14	0	5	6.510378e+01	5	9.226206e-01	0	5	6.655541e+01	5	3.585280e-01	
MRI_snacks_112	2	34	ChocolateChipsCookies.bmp	0	15	0	5	6.847427e+01	5	9.772883e-01	0	5	6.999264e+01	5	8.089513e-01	
MRI_snacks_112	2	9	ClickBisquit2.bmp	6	16	1	1	7.236199e+01	1	1.489770e+00	0	5	7.439746e+01	5	6.543399e-01	
MRI_snacks_112	2	12	GumiSnakes3.bmp	43	17	1	1	7.660014e+01	1	1.876808e+00	1	1	7.901935e+01	1	4.201760e-01	
MRI_snacks_112	2	11	Egozi.bmp	49	18	1	1	8.098832e+01	1	1.163807e+00	1	1	8.269019e+01	1	2.494706e-01	
MRI_snacks_112	2	43	Hispusim.bmp	0	19	0	1	8.449221e+01	1	1.435100e+00	0	5	8.646071e+01	5	8.541541e-01	
MRI_snacks_112	2	30	Argaliyot.bmp	0	20	0	5	8.886366e+01	5	1.026394e+00	0	5	9.043212e+01	5	3.329370e-01	
MRI_snacks_112	2	44	Kifkef.bmp	0	21	0	4	9.231766e+01	4	5.922744e+00	0	4	9.877486e+01	4	4.280826e-01	
MRI_snacks_112	2	10	ClickXLbrown4.bmp	14	22	1	1	1.007604e+02	1	1.667667e+00	1	1	1.029628e+02	1	8.528100e-01	
MRI_snacks_112	2	42	DoritusMexicanNacho.bmp	0	23	0	2	1.053656e+02	2	6.425477e+00	0	5	1.123233e+02	5	4.927464e-01	
MRI_snacks_112	2	54	TapuchipsCrunch.bmp	0	24	0	2	1.143757e+02	2	6.128180e+00	0	5	1.210498e+02	5	6.167009e-01	
MRI_snacks_112	2	19	Mekupelet.bmp	13	25	1	1	1.232189e+02	1	1.047709e+00	0	5	1.248039e+02	5	4.377135e-01	
MRI_snacks_112	2	46	KinderFingers.bmp	0	26	0	5	1.267895e+02	5	1.089744e+00	0	5	1.284246e+02	5	5.796958e-01	
MRI_snacks_112	2	7	ChocolateParaSucariotKoftzot2.bmp	8	27	1	1	1.305604e+02	1	8.440223e-01	1	1	1.319454e+02	1	2.840521e-01	
MRI_snacks_112	2	1	BabyDoll.bmp	54	28	1	1	1.337807e+02	1	1.186378e+00	1	1	1.354993e+02	1	2.803013e-01	
MRI_snacks_112	2	24	Taami.bmp	11	29	1	1	1.373346e+02	1	1.345160e+00	1	1	1.392201e+02	1	2.971657e-01	
MRI_snacks_112	2	55	Toblerone.bmp	0	30	0	5	1.410722e+02	5	9.077306e-01	0	5	1.425238e+02	5	4.186551e-01	
MRI_snacks_112	2	53	Pringles.bmp	0	31	0	5	1.444927e+02	5	9.498975e-01	0	5	1.459777e+02	5	2.898315e-01	
MRI_snacks_112	2	2	BagaleShtuhim.bmp	16	32	1	1	1.478298e+02	1	8.503614e-01	1	1	1.492146e+02	1	2.656335e-01	
MRI_snacks_112	2	36	ChocolateWhite.bmp	0	33	0	5	1.510333e+02	5	3.959669e+00	0	5	1.555383e+02	5	2.421805e-01	
MRI_snacks_112	2	16	KinderBuenoBrown3.bmp	18	34	1	1	1.573404e+02	1	7.277400e-01	0	5	1.586084e+02	5	7.722578e-01	
MRI_snacks_112	2	31	BisliFalafel.bmp	0	35	0	5	1.609277e+02	5	2.678165e+00	0	5	1.641480e+02	5	2.704228e-01	
