subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_114	 2	 11	 KinderBuenoWhite2.bmp	 1.277868e+03	 12	 999000	 120	 999000	 999	 1.278886e+03	 750.00	 683.33	 10.00	 20	 7.02	 
MRI_snacks_114	 2	 11	 Cheetos.bmp	 1.279870e+03	 24	 999000	 240	 999000	 999	 1.280889e+03	 750.00	 683.33	 56.00	 43	 3.67	 
MRI_snacks_114	 2	 11	 Loacker.bmp	 1.283858e+03	 11	 1.048907e+03	 1100	 7.500757e+02	 98	 1.284892e+03	 700.00	 683.33	 14.00	 21	 6.96	 
MRI_snacks_114	 2	 11	 CrunchShokoVanil.bmp	 1.286861e+03	 22	 6.295610e+02	 22	 6.834109e+02	 98	 1.287897e+03	 700.00	 700.00	 54.00	 54	 3.69	 
MRI_snacks_114	 2	 11	 Twist.bmp	 1.288864e+03	 24	 999000	 240	 999000	 999	 1.289881e+03	 700.00	 700.00	 57.00	 30	 2.82	 
MRI_snacks_114	 2	 11	 DoritosSourSpicy.bmp	 1.291867e+03	 12	 999000	 120	 999000	 999	 1.292885e+03	 700.00	 700.00	 18.00	 5	 6.84	 
MRI_snacks_114	 2	 11	 Smarties.bmp	 1.295855e+03	 24	 999000	 240	 999000	 999	 1.296872e+03	 700.00	 700.00	 58.00	 44	 2.73	 
MRI_snacks_114	 2	 11	 Keifli.bmp	 1.299859e+03	 24	 999000	 240	 999000	 999	 1.300877e+03	 700.00	 700.00	 39.00	 2	 4.73	 
MRI_snacks_114	 2	 11	 KinderBuenoBrown3.bmp	 1.301862e+03	 12	 999000	 120	 999000	 999	 1.302879e+03	 700.00	 700.00	 3.00	 34	 8.09	 
MRI_snacks_114	 2	 11	 DoritosNatural.bmp	 1.306867e+03	 12	 999000	 120	 999000	 999	 1.307885e+03	 700.00	 700.00	 15.00	 50	 6.96	 
MRI_snacks_114	 2	 11	 Tortit.bmp	 1.308869e+03	 24	 999000	 240	 999000	 999	 1.309887e+03	 700.00	 700.00	 45.00	 18	 3.84	 
MRI_snacks_114	 2	 11	 Mekupelet.bmp	 1.310855e+03	 24	 999000	 240	 999000	 999	 1.311873e+03	 700.00	 700.00	 41.00	 11	 3.91	 
MRI_snacks_114	 2	 11	 Apropo.bmp	 1.316862e+03	 24	 999000	 240	 999000	 999	 1.317879e+03	 700.00	 700.00	 40.00	 25	 4.67	 
MRI_snacks_114	 2	 11	 BisliPizza3.bmp	 1.318864e+03	 22	 9.309666e+02	 220	 7.000451e+02	 98	 1.319901e+03	 700.00	 716.67	 46.00	 36	 3.84	 
MRI_snacks_114	 2	 11	 PesekZman.bmp	 1.320866e+03	 11	 8.487195e+02	 110	 7.000443e+02	 98	 1.321901e+03	 716.67	 716.67	 17.00	 32	 6.93	 
MRI_snacks_114	 2	 11	 Bamba.bmp	 1.322868e+03	 24	 999000	 240	 999000	 999	 1.323886e+03	 716.67	 716.67	 52.00	 51	 3.71	 
