subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_117	 1	 5	 BabyDoll.bmp	 5.183359e+02	 24	 999000	 240	 999000	 999	 5.193555e+02	 616.67	 683.33	 56.00	 37	 0.02	 
MRI_snacks_117	 1	 5	 KinderJoy.bmp	 5.213226e+02	 12	 999000	 120	 999000	 999	 5.223410e+02	 616.67	 683.33	 8.00	 44	 7.98	 
MRI_snacks_117	 1	 5	 Bounty.bmp	 5.233249e+02	 24	 999000	 240	 999000	 999	 5.243436e+02	 616.67	 683.33	 39.00	 16	 1.58	 
MRI_snacks_117	 1	 5	 ClickBlackWhite3.bmp	 5.253271e+02	 12	 999000	 120	 999000	 999	 5.263462e+02	 616.67	 683.33	 3.00	 38	 8.02	 
MRI_snacks_117	 1	 5	 Tapuchips.bmp	 5.273293e+02	 24	 999000	 240	 999000	 999	 5.283488e+02	 616.67	 683.33	 55.00	 31	 0.02	 
MRI_snacks_117	 1	 5	 BambaSweet.bmp	 5.303327e+02	 24	 999000	 240	 999000	 999	 5.313507e+02	 616.67	 683.33	 48.00	 41	 0.04	 
MRI_snacks_117	 1	 5	 ClickXLwhite4.bmp	 5.323349e+02	 12	 999000	 120	 999000	 999	 5.333534e+02	 616.67	 683.33	 16.00	 33	 6.93	 
MRI_snacks_117	 1	 5	 ChocolateParaSucariotKoftzot2.bmp	 5.363226e+02	 24	 999000	 240	 999000	 999	 5.373420e+02	 616.67	 683.33	 43.00	 59	 0.56	 
MRI_snacks_117	 1	 5	 Mekupelet.bmp	 5.383249e+02	 11	 9.582349e+02	 110	 6.167291e+02	 98	 5.393595e+02	 633.33	 683.33	 7.00	 58	 8.00	 
MRI_snacks_117	 1	 5	 ChocolateParaMarir2.bmp	 5.433305e+02	 22	 8.965894e+02	 220	 6.833927e+02	 98	 5.443669e+02	 633.33	 700.00	 47.00	 36	 0.04	 
MRI_snacks_117	 1	 5	 HappyHippo.bmp	 5.453328e+02	 12	 999000	 120	 999000	 999	 5.463516e+02	 633.33	 700.00	 22.00	 6	 4.82	 
MRI_snacks_117	 1	 5	 KinderBuenoBrown3.bmp	 5.493372e+02	 12	 999000	 120	 999000	 999	 5.503564e+02	 633.33	 700.00	 19.00	 1	 5.89	 
MRI_snacks_117	 1	 5	 Bamba.bmp	 5.513228e+02	 11	 1.016361e+03	 1100	 6.333784e+02	 98	 5.523575e+02	 583.33	 700.00	 12.00	 57	 6.96	 
MRI_snacks_117	 1	 5	 Taami.bmp	 5.543263e+02	 12	 999000	 120	 999000	 999	 5.553454e+02	 583.33	 700.00	 9.00	 50	 7.00	 
MRI_snacks_117	 1	 5	 SkittlesSour4.bmp	 5.593318e+02	 24	 999000	 240	 999000	 999	 5.603502e+02	 583.33	 700.00	 51.00	 51	 0.04	 
