subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_snacks_120	 1	 2	 02	 2	 1	 2.032691e+00	 BabyDoll.bmp	 BisliPizza3.bmp	 53	 48	 0	 y	 2	 1	 877.52	 1.73	 2.76	 3.399656e+00	 
MRI_snacks_120	 1	 2	 02	 2	 2	 9.032833e+00	 ChocolateParaMarir2.bmp	 Mars.bmp	 7	 16	 0	 y	 1	 1	 839.38	 7.27	 6.98	 1.036637e+01	 
MRI_snacks_120	 1	 2	 02	 2	 3	 2.203379e+01	 BambaSweet.bmp	 KashitSour.bmp	 54	 52	 1	 y	 2	 0	 914.41	 1.73	 1.76	 2.343434e+01	 
MRI_snacks_120	 1	 2	 02	 2	 4	 2.603306e+01	 HispusimShatiah.bmp	 Halva2.bmp	 51	 50	 1	 y	 2	 0	 1118.15	 2.16	 2.31	 2.765167e+01	 
MRI_snacks_120	 1	 2	 02	 2	 5	 3.103316e+01	 BagaleShtuhim.bmp	 PesekZman.bmp	 12	 11	 0	 b	 1	 0	 828.05	 7.00	 7.02	 3.235239e+01	 
MRI_snacks_120	 1	 2	 02	 2	 6	 3.403323e+01	 Keifli.bmp	 BagaleShtuhim.bmp	 14	 12	 1	 y	 1	 0	 1298.99	 6.98	 7.00	 3.583344e+01	 
MRI_snacks_120	 1	 2	 02	 2	 7	 3.903325e+01	 BagaleShtuhim.bmp	 BisliOnion.bmp	 12	 17	 0	 b	 1	 0	 1268.97	 7.00	 6.93	 4.080014e+01	 
MRI_snacks_120	 1	 2	 02	 2	 8	 4.303333e+01	 KashitSour.bmp	 Smarties.bmp	 52	 46	 0	 y	 2	 1	 965.88	 1.76	 3.87	 4.448803e+01	 
MRI_snacks_120	 1	 2	 02	 2	 9	 5.203345e+01	 ChocolateParaMarir2.bmp	 CrunchBisquitWhite2.bmp	 7	 9	 0	 y	 1	 1	 869.76	 7.27	 7.04	 5.340037e+01	 
MRI_snacks_120	 1	 2	 02	 2	 10	 5.703352e+01	 Smarties.bmp	 BabyDoll.bmp	 46	 53	 1	 b	 2	 1	 831.69	 3.87	 1.73	 5.835704e+01	 
MRI_snacks_120	 1	 2	 02	 2	 11	 6.103361e+01	 Twist.bmp	 BambaSweet.bmp	 47	 54	 0	 b	 2	 0	 967.61	 3.87	 1.73	 6.250048e+01	 
MRI_snacks_120	 1	 2	 02	 2	 12	 6.803363e+01	 Mars.bmp	 Dubonim.bmp	 16	 13	 1	 b	 1	 1	 836.58	 6.98	 6.98	 6.936715e+01	 
MRI_snacks_120	 1	 2	 02	 2	 13	 7.203372e+01	 Mars.bmp	 Apropo.bmp	 16	 15	 1	 y	 1	 0	 1306.49	 6.98	 6.98	 7.383391e+01	 
MRI_snacks_120	 1	 2	 02	 2	 14	 7.803377e+01	 BambaSweet.bmp	 Halva2.bmp	 54	 50	 1	 y	 2	 0	 949.44	 1.73	 2.31	 7.948390e+01	 
MRI_snacks_120	 1	 2	 02	 2	 15	 8.303388e+01	 Apropo.bmp	 Keifli.bmp	 15	 14	 0	 b	 1	 0	 984.31	 6.98	 6.98	 8.451749e+01	 
MRI_snacks_120	 1	 2	 02	 2	 16	 8.703390e+01	 CrunchBisquitWhite2.bmp	 Snickers.bmp	 9	 10	 1	 y	 1	 0	 1300.31	 7.04	 7.02	 8.883419e+01	 
MRI_snacks_120	 1	 2	 02	 2	 17	 9.003401e+01	 Smarties.bmp	 Halva2.bmp	 46	 50	 1	 y	 2	 0	 1428.20	 3.87	 2.31	 9.195090e+01	 
MRI_snacks_120	 1	 2	 02	 2	 18	 9.303397e+01	 Bounty.bmp	 Halva2.bmp	 49	 50	 1	 y	 2	 0	 1166.24	 2.73	 2.31	 9.469669e+01	 
MRI_snacks_120	 1	 2	 02	 2	 19	 9.703403e+01	 ChocolateParaMarir2.bmp	 PesekZman.bmp	 7	 11	 0	 y	 1	 1	 1288.19	 7.27	 7.02	 9.881754e+01	 
MRI_snacks_120	 1	 2	 02	 2	 20	 1.100342e+02	 DoritosGrill.bmp	 BambaSweet.bmp	 44	 54	 0	 b	 2	 0	 1123.01	 4.22	 1.73	 1.116512e+02	 
MRI_snacks_120	 1	 2	 02	 2	 21	 1.140343e+02	 BisliPizza3.bmp	 KashitSour.bmp	 48	 52	 1	 b	 2	 1	 765.91	 2.76	 1.76	 1.153004e+02	 
MRI_snacks_120	 1	 2	 02	 2	 22	 1.170173e+02	 Twist.bmp	 Smarties.bmp	 47	 46	 0	 b	 2	 0	 1183.88	 3.87	 3.87	 1.187179e+02	 
MRI_snacks_120	 1	 2	 02	 2	 23	 1.220344e+02	 ClickXLwhite4.bmp	 Bamba.bmp	 55	 5	 0	 y	 4	 1	 1152.85	 1.71	 7.53	 1.236851e+02	 
MRI_snacks_120	 1	 2	 02	 2	 24	 1.250183e+02	 DoritosGrill.bmp	 Hit.bmp	 44	 43	 0	 x	 2	 999	 999000.00	 4.22	 4.36	 1.270187e+02	 
MRI_snacks_120	 1	 2	 02	 2	 25	 1.290189e+02	 Smarties.bmp	 ChocolateParaMilk3.bmp	 46	 45	 1	 y	 2	 0	 940.30	 3.87	 3.89	 1.304697e+02	 
MRI_snacks_120	 1	 2	 02	 2	 26	 1.350203e+02	 Hit.bmp	 KashitSour.bmp	 43	 52	 1	 b	 2	 1	 667.93	 4.36	 1.76	 1.362014e+02	 
MRI_snacks_120	 1	 2	 02	 2	 27	 1.380346e+02	 Tictac.bmp	 Bamba.bmp	 56	 5	 0	 y	 4	 1	 609.57	 1.69	 7.53	 1.391378e+02	 
MRI_snacks_120	 1	 2	 02	 2	 28	 1.420214e+02	 BisliOnion.bmp	 Apropo.bmp	 17	 15	 1	 b	 1	 1	 792.77	 6.93	 6.98	 1.433219e+02	 
MRI_snacks_120	 1	 2	 02	 2	 29	 1.470223e+02	 ChocolateParaMilk3.bmp	 BisliPizza3.bmp	 45	 48	 0	 y	 2	 1	 647.89	 3.89	 2.76	 1.481727e+02	 
MRI_snacks_120	 1	 2	 02	 2	 30	 1.510230e+02	 BisliOnion.bmp	 SkittlesFruits2.bmp	 17	 18	 1	 b	 1	 1	 651.25	 6.93	 6.71	 1.521850e+02	 
MRI_snacks_120	 1	 2	 02	 2	 31	 1.630250e+02	 HispusimShatiah.bmp	 KashitSour.bmp	 51	 52	 1	 b	 2	 1	 903.19	 2.16	 1.76	 1.644350e+02	 
MRI_snacks_120	 1	 2	 02	 2	 32	 1.690261e+02	 PesekZman.bmp	 SkittlesFruits2.bmp	 11	 18	 1	 b	 1	 1	 1049.12	 7.02	 6.71	 1.705765e+02	 
MRI_snacks_120	 1	 2	 02	 2	 33	 1.720267e+02	 Twist.bmp	 HispusimShatiah.bmp	 47	 51	 0	 b	 2	 0	 888.54	 3.87	 2.16	 1.734185e+02	 
MRI_snacks_120	 1	 2	 02	 2	 34	 1.760274e+02	 BagaleShtuhim.bmp	 CrunchBisquitWhite2.bmp	 12	 9	 0	 b	 1	 0	 779.84	 7.00	 7.04	 1.773110e+02	 
MRI_snacks_120	 1	 2	 02	 2	 35	 1.790278e+02	 Keifli.bmp	 Snickers.bmp	 14	 10	 1	 b	 1	 1	 692.39	 6.98	 7.02	 1.802186e+02	 
MRI_snacks_120	 1	 2	 02	 2	 36	 1.820284e+02	 Mars.bmp	 SkittlesFruits2.bmp	 16	 18	 1	 b	 1	 1	 774.82	 6.98	 6.71	 1.833019e+02	 
MRI_snacks_120	 1	 2	 02	 2	 37	 1.850289e+02	 Snickers.bmp	 Mars.bmp	 10	 16	 0	 y	 1	 1	 1054.27	 7.02	 6.98	 1.865855e+02	 
MRI_snacks_120	 1	 2	 02	 2	 38	 1.880295e+02	 Dubonim.bmp	 PesekZman.bmp	 13	 11	 0	 b	 1	 0	 748.76	 6.98	 7.02	 1.892797e+02	 
