subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_120	 2	 16	 ChocolateParaSucariotKoftzot2.bmp	 2.010265e+03	 12	 999000	 120	 999000	 999	 2.011283e+03	 850.00	 850.00	 19.00	 14	 6.58	 
MRI_snacks_120	 2	 16	 ChocolateParaMarir2.bmp	 2.012267e+03	 12	 999000	 120	 999000	 999	 2.013285e+03	 850.00	 850.00	 7.00	 41	 7.27	 
MRI_snacks_120	 2	 16	 KashitSour.bmp	 2.016255e+03	 24	 999000	 240	 999000	 999	 2.017273e+03	 850.00	 850.00	 52.00	 20	 1.76	 
MRI_snacks_120	 2	 16	 Snickers.bmp	 2.019258e+03	 12	 999000	 120	 999000	 999	 2.020276e+03	 850.00	 850.00	 10.00	 8	 7.02	 
MRI_snacks_120	 2	 16	 BagaleShtuhim.bmp	 2.021261e+03	 12	 999000	 120	 999000	 999	 2.022279e+03	 850.00	 850.00	 12.00	 52	 7.00	 
MRI_snacks_120	 2	 16	 ChocolateParaMilk3.bmp	 2.024264e+03	 24	 999000	 240	 999000	 999	 2.025282e+03	 850.00	 850.00	 45.00	 37	 3.89	 
MRI_snacks_120	 2	 16	 Dubonim.bmp	 2.028252e+03	 12	 999000	 120	 999000	 999	 2.029270e+03	 850.00	 850.00	 13.00	 24	 6.98	 
MRI_snacks_120	 2	 16	 BabyDoll.bmp	 2.032256e+03	 24	 999000	 240	 999000	 999	 2.033274e+03	 850.00	 850.00	 53.00	 21	 1.73	 
MRI_snacks_120	 2	 16	 SkittlesSour4.bmp	 2.034259e+03	 12	 999000	 120	 999000	 999	 2.035276e+03	 850.00	 850.00	 3.00	 7	 7.56	 
MRI_snacks_120	 2	 16	 PesekZman.bmp	 2.039264e+03	 11	 1.018949e+03	 1100	 8.500592e+02	 98	 2.040300e+03	 800.00	 850.00	 11.00	 13	 7.02	 
MRI_snacks_120	 2	 16	 CrunchBisquitBrown3.bmp	 2.041266e+03	 11	 9.445816e+02	 110	 8.000505e+02	 98	 2.042303e+03	 816.67	 850.00	 8.00	 53	 7.27	 
