subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_124	 2	 18	 Popco.bmp	 2.423976e+03	 12	 999000	 120	 999000	 999	 2.424994e+03	 650.00	 650.00	 15.00	 28	 2.73	 
MRI_snacks_124	 2	 18	 BisliBbq.bmp	 2.426962e+03	 22	 1.016403e+03	 2200	 6.500801e+02	 98	 2.427997e+03	 650.00	 600.00	 43.00	 45	 0.07	 
MRI_snacks_124	 2	 18	 CrunchBisquitWhite2.bmp	 2.428965e+03	 12	 999000	 120	 999000	 999	 2.429983e+03	 650.00	 600.00	 12.00	 11	 3.82	 
MRI_snacks_124	 2	 18	 BisliPizza3.bmp	 2.430967e+03	 22	 8.996391e+02	 220	 6.000807e+02	 98	 2.432003e+03	 650.00	 616.67	 46.00	 1	 0.04	 
MRI_snacks_124	 2	 18	 DoritosSourSpicy.bmp	 2.432969e+03	 11	 9.373259e+02	 110	 6.500695e+02	 98	 2.434006e+03	 666.67	 616.67	 17.00	 5	 2.71	 
MRI_snacks_124	 2	 18	 Twix.bmp	 2.435973e+03	 11	 9.820391e+02	 110	 6.667136e+02	 98	 2.437007e+03	 683.33	 616.67	 14.00	 9	 3.73	 
MRI_snacks_124	 2	 18	 ClickXLwhite4.bmp	 2.437975e+03	 24	 999000	 240	 999000	 999	 2.438993e+03	 683.33	 616.67	 42.00	 35	 0.07	 
MRI_snacks_124	 2	 18	 Tortit.bmp	 2.441963e+03	 12	 999000	 120	 999000	 999	 2.442981e+03	 683.33	 616.67	 5.00	 20	 4.89	 
MRI_snacks_124	 2	 18	 Bounty.bmp	 2.443965e+03	 24	 999000	 240	 999000	 999	 2.444983e+03	 683.33	 616.67	 47.00	 2	 0.04	 
MRI_snacks_124	 2	 18	 KashitSour.bmp	 2.448971e+03	 24	 999000	 240	 999000	 999	 2.449988e+03	 683.33	 616.67	 41.00	 32	 0.07	 
MRI_snacks_124	 2	 18	 Tictac.bmp	 2.450973e+03	 24	 999000	 240	 999000	 999	 2.451991e+03	 683.33	 616.67	 57.00	 25	 0.02	 
MRI_snacks_124	 2	 18	 BisliOnion.bmp	 2.454977e+03	 24	 999000	 240	 999000	 999	 2.455995e+03	 683.33	 616.67	 39.00	 50	 0.09	 
MRI_snacks_124	 2	 18	 ChocolateParaSucariotKoftzot2.bmp	 2.456963e+03	 24	 999000	 240	 999000	 999	 2.457981e+03	 683.33	 616.67	 58.00	 31	 0.02	 
MRI_snacks_124	 2	 18	 Shugi.bmp	 2.459966e+03	 11	 1.004583e+03	 1100	 6.833831e+02	 98	 2.461001e+03	 633.33	 616.67	 8.00	 39	 4.84	 
MRI_snacks_124	 2	 18	 SkittlesSour4.bmp	 2.464972e+03	 24	 999000	 240	 999000	 999	 2.465990e+03	 633.33	 616.67	 45.00	 54	 0.07	 
MRI_snacks_124	 2	 18	 GumiWine2.bmp	 2.466974e+03	 24	 999000	 240	 999000	 999	 2.467992e+03	 633.33	 616.67	 56.00	 19	 0.02	 
MRI_snacks_124	 2	 18	 BambaSweet.bmp	 2.468976e+03	 24	 999000	 240	 999000	 999	 2.469994e+03	 633.33	 616.67	 55.00	 12	 0.02	 
MRI_snacks_124	 2	 18	 Keifli.bmp	 2.472964e+03	 24	 999000	 240	 999000	 999	 2.473982e+03	 633.33	 616.67	 52.00	 40	 0.04	 
MRI_snacks_124	 2	 18	 Twist.bmp	 2.476969e+03	 24	 999000	 240	 999000	 999	 2.477987e+03	 633.33	 616.67	 44.00	 52	 0.07	 
MRI_snacks_124	 2	 18	 PesekZman.bmp	 2.480973e+03	 11	 9.974456e+02	 110	 6.333789e+02	 98	 2.482008e+03	 650.00	 616.67	 9.00	 46	 4.84	 
MRI_snacks_124	 2	 18	 ClickBisquit2.bmp	 2.482976e+03	 12	 999000	 120	 999000	 999	 2.483993e+03	 650.00	 616.67	 22.00	 23	 1.67	 
MRI_snacks_124	 2	 18	 ChocolateParaCookies5.bmp	 2.484978e+03	 22	 9.690085e+02	 220	 6.167181e+02	 98	 2.486014e+03	 650.00	 633.33	 54.00	 57	 0.04	 
MRI_snacks_124	 2	 18	 Taami.bmp	 2.486963e+03	 11	 1.007857e+03	 1100	 6.500548e+02	 98	 2.488000e+03	 600.00	 633.33	 11.00	 33	 4.78	 
MRI_snacks_124	 2	 18	 Kitkat.bmp	 2.488966e+03	 12	 999000	 120	 999000	 999	 2.489983e+03	 600.00	 633.33	 7.00	 14	 4.84	 
MRI_snacks_124	 2	 18	 ChocolateParaMilk3.bmp	 2.494972e+03	 24	 999000	 240	 999000	 999	 2.495990e+03	 600.00	 633.33	 50.00	 18	 0.04	 
MRI_snacks_124	 2	 18	 BagaleShtuhim.bmp	 2.497976e+03	 22	 1.011150e+03	 2200	 6.333770e+02	 98	 2.499010e+03	 600.00	 583.33	 49.00	 16	 0.04	 
MRI_snacks_124	 2	 18	 DoritosGrill.bmp	 2.499978e+03	 11	 9.448071e+02	 110	 6.000457e+02	 98	 2.501015e+03	 616.67	 583.33	 16.00	 3	 2.71	 
MRI_snacks_124	 2	 18	 CrunchShokoVanil.bmp	 2.501963e+03	 12	 999000	 120	 999000	 999	 2.502981e+03	 616.67	 583.33	 10.00	 43	 4.82	 
MRI_snacks_124	 2	 18	 BisliGrill.bmp	 2.504967e+03	 12	 999000	 120	 999000	 999	 2.505985e+03	 616.67	 583.33	 20.00	 6	 2.67	 
MRI_snacks_124	 2	 18	 ChocolateParaMarir2.bmp	 2.506969e+03	 24	 999000	 240	 999000	 999	 2.507987e+03	 616.67	 583.33	 40.00	 30	 0.07	 
MRI_snacks_124	 2	 18	 CrunchBisquitBrown3.bmp	 2.508971e+03	 12	 999000	 120	 999000	 999	 2.509989e+03	 616.67	 583.33	 6.00	 22	 4.89	 
MRI_snacks_124	 2	 18	 Dubonim.bmp	 2.510974e+03	 22	 9.650930e+02	 220	 5.834002e+02	 98	 2.512008e+03	 616.67	 600.00	 51.00	 34	 0.04	 
