subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_snacks_138	 1	 2	 04	 2	 1	 2.019426e+00	 ClickBisquit2.bmp	 PesekZman.bmp	 48	 47	 1	 b	 2	 1	 902.40	 0.16	 0.16	 3.420795e+00	 
MRI_snacks_138	 1	 2	 04	 2	 2	 5.019954e+00	 Twist.bmp	 KifkefMaklot2.bmp	 43	 50	 1	 b	 2	 1	 816.89	 0.24	 0.13	 6.337033e+00	 
MRI_snacks_138	 1	 2	 04	 2	 3	 8.020541e+00	 Mars.bmp	 Mentos.bmp	 7	 14	 0	 y	 1	 1	 804.29	 2.73	 1.87	 9.334740e+00	 
MRI_snacks_138	 1	 2	 04	 2	 4	 1.302128e+01	 Apropo.bmp	 Dubonim.bmp	 8	 15	 1	 b	 1	 1	 764.55	 2.71	 1.84	 1.428831e+01	 
MRI_snacks_138	 1	 2	 04	 2	 5	 1.802222e+01	 KifkefMaklot2.bmp	 CrunchBisquitBrown3.bmp	 50	 51	 0	 b	 2	 0	 773.62	 0.13	 0.11	 1.930160e+01	 
MRI_snacks_138	 1	 2	 04	 2	 6	 2.502347e+01	 WerthersOriginal.bmp	 Tictac.bmp	 11	 12	 1	 b	 1	 1	 757.38	 2.29	 2.04	 2.628501e+01	 
MRI_snacks_138	 1	 2	 04	 2	 7	 2.902416e+01	 Mars.bmp	 Apropo.bmp	 7	 8	 0	 y	 1	 1	 633.68	 2.73	 2.71	 3.015778e+01	 
MRI_snacks_138	 1	 2	 04	 2	 8	 3.202468e+01	 Twist.bmp	 ClickXLbrown4.bmp	 43	 44	 1	 y	 2	 0	 810.15	 0.24	 0.20	 3.333518e+01	 
MRI_snacks_138	 1	 2	 04	 2	 9	 3.902589e+01	 Mentos.bmp	 Egozi.bmp	 14	 18	 1	 b	 1	 1	 643.94	 1.87	 1.76	 4.016853e+01	 
MRI_snacks_138	 1	 2	 04	 2	 10	 4.302663e+01	 Twist.bmp	 PesekZman.bmp	 43	 47	 1	 y	 2	 0	 663.20	 0.24	 0.16	 4.419373e+01	 
MRI_snacks_138	 1	 2	 04	 2	 11	 4.602718e+01	 ChocolateParaCookies5.bmp	 Egozi.bmp	 17	 18	 1	 b	 1	 1	 668.65	 1.76	 1.76	 4.719410e+01	 
MRI_snacks_138	 1	 2	 04	 2	 12	 5.002785e+01	 KifkefMaklot2.bmp	 ClickBisquit2.bmp	 50	 48	 0	 y	 2	 1	 728.00	 0.13	 0.16	 5.125226e+01	 
