subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
MRI_snacks_140	 2	 17	 CrunchBisquitWhite2.bmp	 2.125987e+03	 12	 999000	 120	 999000	 999	 2.127005e+03	 766.67	 783.33	 4.00	 45	 5.96	 
MRI_snacks_140	 2	 17	 Apropo.bmp	 2.130977e+03	 12	 999000	 120	 999000	 999	 2.131994e+03	 766.67	 783.33	 6.00	 42	 4.98	 
MRI_snacks_140	 2	 17	 Tapuchips.bmp	 2.132979e+03	 24	 999000	 240	 999000	 999	 2.133997e+03	 766.67	 783.33	 50.00	 10	 0.04	 
MRI_snacks_140	 2	 17	 DoritosSourSpicy.bmp	 2.134981e+03	 24	 999000	 240	 999000	 999	 2.135999e+03	 766.67	 783.33	 57.00	 14	 0.02	 
MRI_snacks_140	 2	 17	 BagaleShtuhim.bmp	 2.140988e+03	 24	 999000	 240	 999000	 999	 2.142006e+03	 766.67	 783.33	 44.00	 22	 0.07	 
MRI_snacks_140	 2	 17	 ChocolateParaCookies5.bmp	 2.142990e+03	 11	 9.010751e+02	 110	 7.667455e+02	 98	 2.144025e+03	 783.33	 783.33	 8.00	 15	 3.87	 
MRI_snacks_140	 2	 17	 Cheetos.bmp	 2.145977e+03	 24	 999000	 240	 999000	 999	 2.146994e+03	 783.33	 783.33	 39.00	 31	 0.16	 
MRI_snacks_140	 2	 17	 ClickBisquit2.bmp	 2.147979e+03	 11	 5.840928e+02	 11	 7.833753e+02	 98	 2.149014e+03	 800.00	 783.33	 9.00	 34	 3.80	 
MRI_snacks_140	 2	 17	 Tortit.bmp	 2.151984e+03	 22	 9.554661e+02	 220	 7.833958e+02	 98	 2.153018e+03	 800.00	 800.00	 43.00	 21	 0.07	 
MRI_snacks_140	 2	 17	 BisliPizza3.bmp	 2.153985e+03	 12	 999000	 120	 999000	 999	 2.155003e+03	 800.00	 800.00	 12.00	 2	 2.82	 
MRI_snacks_140	 2	 17	 Twist.bmp	 2.158991e+03	 22	 8.196710e+02	 220	 8.000444e+02	 98	 2.160028e+03	 800.00	 816.67	 48.00	 57	 0.07	 
MRI_snacks_140	 2	 17	 Bounty.bmp	 2.165982e+03	 11	 1.004678e+03	 1100	 8.000540e+02	 98	 2.167017e+03	 750.00	 816.67	 11.00	 28	 3.31	 
MRI_snacks_140	 2	 17	 CrunchBisquitBrown3.bmp	 2.167984e+03	 12	 999000	 120	 999000	 999	 2.169002e+03	 750.00	 816.67	 3.00	 47	 5.98	 
MRI_snacks_140	 2	 17	 KinderBuenoWhite2.bmp	 2.170988e+03	 11	 9.989287e+02	 110	 7.500547e+02	 98	 2.172024e+03	 766.67	 816.67	 14.00	 9	 2.78	 
MRI_snacks_140	 2	 17	 HappyHippo.bmp	 2.173975e+03	 24	 999000	 240	 999000	 999	 2.174992e+03	 766.67	 816.67	 55.00	 49	 0.04	 
MRI_snacks_140	 2	 17	 WerthersOriginal.bmp	 2.177979e+03	 24	 999000	 240	 999000	 999	 2.178997e+03	 766.67	 816.67	 52.00	 33	 0.04	 
MRI_snacks_140	 2	 17	 HispusimShatiah.bmp	 2.181984e+03	 24	 999000	 240	 999000	 999	 2.183002e+03	 766.67	 816.67	 40.00	 59	 0.09	 
MRI_snacks_140	 2	 17	 GumiSnakes3.bmp	 2.185988e+03	 24	 999000	 240	 999000	 999	 2.187006e+03	 766.67	 816.67	 53.00	 40	 0.04	 
MRI_snacks_140	 2	 17	 KashitSour.bmp	 2.188975e+03	 22	 1.012439e+03	 2200	 8.167133e+02	 98	 2.190010e+03	 766.67	 766.67	 49.00	 8	 0.04	 
MRI_snacks_140	 2	 17	 BambaSweet.bmp	 2.194982e+03	 24	 999000	 240	 999000	 999	 2.195999e+03	 766.67	 766.67	 45.00	 27	 0.07	 
MRI_snacks_140	 2	 17	 ChocolateParaMarir2.bmp	 2.196984e+03	 12	 999000	 120	 999000	 999	 2.198002e+03	 766.67	 766.67	 10.00	 53	 3.73	 
MRI_snacks_140	 2	 17	 Taami.bmp	 2.199987e+03	 22	 9.996862e+02	 220	 7.667113e+02	 98	 2.201023e+03	 766.67	 783.33	 51.00	 12	 0.04	 
MRI_snacks_140	 2	 17	 Mars.bmp	 2.201990e+03	 12	 999000	 120	 999000	 999	 2.203007e+03	 766.67	 783.33	 22.00	 1	 1.71	 
MRI_snacks_140	 2	 17	 BabyDoll.bmp	 2.203975e+03	 24	 999000	 240	 999000	 999	 2.204993e+03	 766.67	 783.33	 58.00	 32	 0.02	 
MRI_snacks_140	 2	 17	 Mentos.bmp	 2.205977e+03	 24	 999000	 240	 999000	 999	 2.206995e+03	 766.67	 783.33	 56.00	 55	 0.04	 
MRI_snacks_140	 2	 17	 ChocolateParaSucariotKoftzot2.bmp	 2.208981e+03	 12	 999000	 120	 999000	 999	 2.209998e+03	 766.67	 783.33	 21.00	 23	 1.73	 
MRI_snacks_140	 2	 17	 DoritosGrill.bmp	 2.212985e+03	 24	 999000	 240	 999000	 999	 2.214003e+03	 766.67	 783.33	 42.00	 20	 0.07	 
MRI_snacks_140	 2	 17	 BisliBbq.bmp	 2.214987e+03	 12	 999000	 120	 999000	 999	 2.216005e+03	 766.67	 783.33	 13.00	 51	 2.82	 
MRI_snacks_140	 2	 17	 Loacker.bmp	 2.216990e+03	 11	 9.333929e+02	 110	 7.667204e+02	 98	 2.218026e+03	 783.33	 783.33	 16.00	 3	 2.71	 
MRI_snacks_140	 2	 17	 ClickXLwhite4.bmp	 2.218975e+03	 24	 999000	 240	 999000	 999	 2.219993e+03	 783.33	 783.33	 47.00	 50	 0.07	 
MRI_snacks_140	 2	 17	 CrunchShokoVanil.bmp	 2.220978e+03	 22	 9.855148e+02	 220	 7.833780e+02	 98	 2.222012e+03	 783.33	 800.00	 46.00	 43	 0.07	 
MRI_snacks_140	 2	 17	 Hit.bmp	 2.222980e+03	 12	 999000	 120	 999000	 999	 2.223997e+03	 783.33	 800.00	 19.00	 54	 1.87	 
MRI_snacks_140	 2	 17	 Halva2.bmp	 2.226984e+03	 22	 8.827444e+02	 220	 8.000582e+02	 98	 2.228019e+03	 783.33	 816.67	 54.00	 44	 0.04	 
MRI_snacks_140	 2	 17	 SkittlesFruits2.bmp	 2.230989e+03	 12	 999000	 120	 999000	 999	 2.232007e+03	 783.33	 816.67	 15.00	 35	 2.76	 
MRI_snacks_140	 2	 17	 ClickXLbrown4.bmp	 2.232991e+03	 12	 999000	 120	 999000	 999	 2.234009e+03	 783.33	 816.67	 20.00	 17	 1.73	 
MRI_snacks_140	 2	 17	 BisliOnion.bmp	 2.234977e+03	 12	 999000	 120	 999000	 999	 2.235994e+03	 783.33	 816.67	 5.00	 18	 5.60	 
MRI_snacks_140	 2	 17	 Keifli.bmp	 2.236979e+03	 11	 9.682283e+02	 110	 7.833847e+02	 98	 2.238015e+03	 800.00	 816.67	 17.00	 25	 2.71	 
MRI_snacks_140	 2	 17	 KifkefMaklot2.bmp	 2.238981e+03	 12	 999000	 120	 999000	 999	 2.239999e+03	 800.00	 816.67	 7.00	 37	 3.93	 
MRI_snacks_140	 2	 17	 Dubonim.bmp	 2.244988e+03	 12	 999000	 120	 999000	 999	 2.246006e+03	 800.00	 816.67	 18.00	 16	 2.69	 
MRI_snacks_140	 2	 17	 GumiWine2.bmp	 2.246990e+03	 24	 999000	 240	 999000	 999	 2.248009e+03	 800.00	 816.67	 41.00	 5	 0.07	 
