Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial	TrialOnset	TrialOffset	Ladder	CueOnset	RT	KeyPressed	onsetPlanned	onset	duration
BM_112	23	0.6536804	1146.jpg	22	2	0	0	1	1	1	2.0023273039842	3.45383428107016	0.85	NaN	NaN	x	2	2.0023273039842	1.45150697708596
BM_112	15	0.7395006	1262.jpg	40	1	0.5	1	1	2	2	3.50399735907558	4.95555106806569	0.85	850.87643400766	1257.36360391602	b	3.5	3.50399735907558	1.4515537089901
BM_112	35	0.5261585	1192.jpg	28	4	0	0	1	3	3	5.00561322201975	6.45721489307471	0.85	NaN	NaN	x	5	5.00561322201975	1.45160167105496
BM_112	77	0.1943721	1130.jpg	19	0	0	0	1	4	4	6.50726270803716	7.958941583056	0.85	NaN	NaN	x	6.5	6.50726270803716	1.45167887501884
BM_112	8	0.7956376	2240.jpg	78	0	0	0	1	5	5	8.00891667103861	9.46058909606654	0.85	NaN	NaN	x	8	8.00891667103861	1.45167242502794
BM_112	11	0.7814859	1028.jpg	7	1	0.5	1	1	6	6	9.49370046099648	10.9455730420304	0.85	851.269753067754	699.668426066637	b	9.5	9.49370046099648	1.45187258103397
BM_112	59	0.341486	1220.jpg	34	7	0	0	1	7	7	10.9956611880334	12.4472548840567	0.85	NaN	NaN	x	11	10.9956611880334	1.45159369602334
BM_112	36	0.5136473	1013.jpg	3	4	0.5	0	1	8	8	12.4974463779945	13.9489215629874	0.85	NaN	NaN	x	12.5	12.4974463779945	1.45147518499289
BM_112	2	0.8513096	1150.jpg	23	0	0	0	1	9	9	13.9991083380301	15.4506415440701	0.85	NaN	NaN	x	14	13.9991083380301	1.45153320604004
BM_112	43	0.440429	1050.jpg	10	5	1	1	1	10	10	15.5006498959847	16.9523181749973	0.85	851.035102037713	1228.70156704448	b	15.5	15.5006498959847	1.45166827901267
BM_112	7	0.797451	2118.jpg	60	0	0	0	1	11	11	17.0023414940806	18.4539726260118	0.85	NaN	NaN	x	17	17.0023414940806	1.45163113193121
BM_112	22	0.6592095	1035.jpg	9	2	0	0	1	12	12	18.5041272370145	19.9557364820503	0.85	NaN	NaN	x	18.5	18.5041272370145	1.4516092450358
BM_112	16	0.7290723	1114.jpg	16	1	0	0	1	13	13	20.0057738909964	21.4573634100379	0.85	NaN	NaN	x	20	20.0057738909964	1.45158951904159
BM_112	26	0.6367972	2201.jpg	71	3	1	1	1	14	14	21.5074749450432	22.959049121011	0.85	850.859262049198	1173.87873597909	b	21.5	21.5074749450432	1.45157417596783
BM_112	62	0.3275659	1182.jpg	25	7	0.5	1	1	15	15	23.0091388190631	24.4607789170695	0.85	850.895821000449	1240.21290696692	b	23	23.0091388190631	1.45164009800646
BM_112	50	0.3842407	2089.jpg	55	6	0.5	1	1	16	16	24.4941408700543	25.9458017899888	0.85	850.89712694753	1243.22166398633	b	24.5	24.4941408700543	1.45166091993451
BM_112	37	0.4954441	2181.jpg	69	4	0.5	0	1	17	17	25.9957855000393	27.4474384150235	0.85	NaN	NaN	x	26	25.9957855000393	1.45165291498415
BM_112	31	0.5622725	1216.jpg	33	3	1	1	1	18	18	27.4975378790405	28.9490765450755	0.85	850.916355033405	1151.82792895939	b	27.5	27.4975378790405	1.45153866603505
BM_112	28	0.624662	1007.jpg	1	3	0	0	1	19	19	28.9992012520088	30.4507578070043	0.85	NaN	NaN	x	29	28.9992012520088	1.45155655499548
BM_112	64	0.3216092	1255.jpg	39	7	0	0	1	20	20	30.5008152819937	31.9524894130882	0.85	NaN	NaN	x	30.5	30.5008152819937	1.45167413109448
BM_112	74	0.2211897	1052.jpg	11	0	0	0	1	21	21	32.0025450120447	33.454160190071	0.85	NaN	NaN	x	32	32.0025450120447	1.45161517802626
BM_112	49	0.3869308	1127.jpg	18	6	0	0	1	22	22	33.5042612620164	34.9558233310236	0.85	NaN	NaN	x	33.5	33.5042612620164	1.4515620690072
BM_112	9	0.7920635	2212.jpg	73	1	0	0	1	23	23	35.0058940669987	36.4575258630794	0.85	NaN	NaN	x	35	35.0058940669987	1.45163179608062
BM_112	76	0.2002121	2041.jpg	48	0	0	0	1	24	24	36.50758812204	37.9592689940473	0.85	NaN	NaN	x	36.5	36.50758812204	1.45168087200727
BM_112	45	0.4365345	1210.jpg	32	5	0	0	1	25	25	38.00926789199	39.4609821949853	0.85	NaN	NaN	x	38	38.00926789199	1.45171430299524
BM_112	80	0.0814061	1080.jpg	15	0	0	0	1	26	26	39.4943014180753	40.9458734890213	0.85	NaN	NaN	x	39.5	39.4943014180753	1.45157207094599
BM_112	65	0.3141694	1115.jpg	17	8	0	0	1	27	27	40.9960180260241	42.4475906330626	0.85	NaN	NaN	x	41	40.9960180260241	1.45157260703854
BM_112	10	0.7820717	1031.jpg	8	1	0.5	1	1	28	28	42.4976658370579	43.9493001360679	0.85	850.945326965302	1159.70725798979	b	42.5	42.4976658370579	1.45163429901004
BM_112	38	0.4796713	2249.jpg	80	4	0	0	1	29	29	43.9993769050343	45.4509616000578	0.85	NaN	NaN	x	44	43.9993769050343	1.45158469502348
BM_112	6	0.8173348	2209.jpg	72	0	0	0	1	30	30	45.5010741630103	46.9526236540405	0.85	NaN	NaN	x	45.5	45.5010741630103	1.45154949103016
BM_112	71	0.2691803	2128.jpg	63	8	1	1	1	31	31	47.002659328049	48.4543050250504	0.85	851.018046960235	1278.71925302316	b	47	47.002659328049	1.45164569700137
BM_112	34	0.5286803	2164.jpg	68	4	0	0	1	32	32	48.5044628770556	49.9560595070943	0.85	NaN	NaN	x	48.5	48.5044628770556	1.45159663003869
BM_112	39	0.4764439	1207.jpg	31	4	0	0	1	33	33	50.0061335010687	51.4577268119901	0.85	NaN	NaN	x	50	50.0061335010687	1.45159331092145
BM_112	73	0.2247427	1204.jpg	30	0	0	0	1	34	34	51.5077894860879	52.9593462460907	0.85	NaN	NaN	x	51.5	51.5077894860879	1.45155676000286
BM_112	78	0.1876431	2045.jpg	50	0	0	0	1	35	35	52.9925135410158	54.44439581607	0.85	NaN	NaN	x	53	52.9925135410158	1.45188227505423
BM_112	56	0.3556008	2155.jpg	67	6	0.5	0	1	36	36	54.4944852410117	55.9461081690388	0.85	NaN	NaN	x	54.5	54.4944852410117	1.45162292802706
BM_112	25	0.6390235	1183.jpg	26	3	0	0	1	37	37	55.9962164430181	57.4477201200789	0.85	NaN	NaN	x	56	55.9962164430181	1.45150367706083
BM_112	41	0.4693346	2194.jpg	70	5	0	0	1	38	38	57.4978736490011	58.9494591080584	0.85	NaN	NaN	x	57.5	57.4978736490011	1.45158545905724
BM_112	47	0.4228113	1246.jpg	37	5	1	1	1	39	39	58.9994621280348	60.4511507319985	0.85	851.002712035552	1265.89230599348	b	59	58.9994621280348	1.4516886039637
BM_112	5	0.8288055	2024.jpg	46	0	0	0	1	40	40	60.5012211040594	61.9528577179881	0.85	NaN	NaN	x	60.5	60.5012211040594	1.45163661392871
BM_112	57	0.3508474	1173.jpg	24	7	0.5	1	1	41	41	62.0028883350315	63.4545314020943	0.85	850.977865047753	1198.51072202437	b	62	62.0028883350315	1.45164306706283
BM_112	51	0.3693179	1145.jpg	21	6	0.5	0	1	42	42	63.504557874985	64.9561953460798	0.85	NaN	NaN	x	63.5	63.504557874985	1.45163747109473
BM_112	60	0.3301544	1019.jpg	5	7	0.5	1	1	43	43	65.0061832839856	66.4578621590044	0.85	851.066499017179	1115.18361000344	b	65	65.0061832839856	1.45167887501884
BM_112	67	0.3003924	2217.jpg	74	8	1	1	1	44	44	66.507917916053	67.9595885700546	0.85	850.942829973064	1269.43312399089	b	66.5	66.507917916053	1.45167065400165
BM_112	55	0.3606323	2015.jpg	44	6	0	0	1	45	45	67.9925781640923	69.4445737770293	0.85	NaN	NaN	x	68	67.9925781640923	1.45199561293703
BM_112	44	0.4371954	1144.jpg	20	5	0	0	1	46	46	69.4947065830929	70.9462924100226	0.85	NaN	NaN	x	69.5	69.4947065830929	1.45158582692966
BM_112	42	0.4545591	1060.jpg	13	5	1	1	1	47	47	70.996257797	72.4478784060339	0.85	851.0158440331	1101.10923903994	b	71	70.996257797	1.45162060903385
BM_112	18	0.7228613	2016.jpg	45	2	0	0	1	48	48	72.4979798950953	73.9496120730182	0.85	NaN	NaN	x	72.5	72.4979798950953	1.45163217792287
