subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
BM_104	1	4.004498e+00	1204.jpg	2053.jpg	30	51	x	999000	999000000
BM_104	2	7.007902e+00	1146.jpg	2240.jpg	22	78	u	999000	1.010967e+03
BM_104	3	9.994659e+00	1028.jpg	2006.jpg	7	41	i	999000	1.184190e+03
BM_104	4	1.299796e+01	2209.jpg	1114.jpg	72	16	u	999000	1.220900e+03
BM_104	5	1.600127e+01	2229.jpg	2089.jpg	77	55	i	999000	1.145599e+03
BM_104	6	1.900470e+01	1130.jpg	1173.jpg	19	24	u	999000	1.342160e+03
BM_104	7	2.200806e+01	1050.jpg	1080.jpg	10	15	u	999000	1.114806e+03
BM_104	8	2.499479e+01	1013.jpg	2041.jpg	3	48	i	999000	1.112061e+03
BM_104	9	2.799809e+01	1052.jpg	2125.jpg	11	62	i	999000	1.100776e+03
BM_104	10	3.100148e+01	1220.jpg	2111.jpg	34	58	i	999000	1.313395e+03
BM_104	11	3.400480e+01	1254.jpg	1027.jpg	38	6	u	999000	1.046056e+03
BM_104	12	3.700819e+01	1073.jpg	1191.jpg	14	27	i	999000	1.610672e+03
BM_104	13	3.999484e+01	2043.jpg	2181.jpg	49	69	i	999000	1.592007e+03
BM_104	14	4.299825e+01	2110.jpg	1127.jpg	57	18	u	999000	1.396616e+03
BM_104	15	4.600169e+01	2024.jpg	1183.jpg	46	26	i	999000	1.745160e+03
BM_104	16	4.900504e+01	1207.jpg	1216.jpg	31	33	i	999000	1.709829e+03
BM_104	17	5.200837e+01	2154.jpg	2058.jpg	66	53	u	999000	1.274497e+03
BM_104	18	5.499507e+01	1007.jpg	1009.jpg	1	2	u	999000	1.983802e+03
BM_104	19	5.799840e+01	1144.jpg	2128.jpg	20	63	i	999000	1.620454e+03
BM_104	20	6.100180e+01	2063.jpg	2118.jpg	54	60	u	999000	9.770703e+02
BM_104	21	6.400518e+01	2164.jpg	2217.jpg	68	74	x	999000	999000000
BM_104	22	6.700850e+01	2015.jpg	2039.jpg	44	47	u	999000	1.146369e+03
BM_104	23	6.999530e+01	2248.jpg	2149.jpg	79	64	u	999000	9.755466e+02
BM_104	24	7.299860e+01	1246.jpg	1017.jpg	37	4	u	999000	1.564268e+03
BM_104	25	7.600191e+01	1255.jpg	2124.jpg	39	61	i	999000	1.760977e+03
BM_104	26	7.900530e+01	2218.jpg	2221.jpg	75	76	i	999000	1.669590e+03
BM_104	27	8.200869e+01	2094.jpg	1145.jpg	56	21	u	999000	1.418177e+03
BM_104	28	8.499537e+01	2153.jpg	1182.jpg	65	25	u	999000	1.071498e+03
BM_104	29	8.799871e+01	1210.jpg	1019.jpg	32	5	u	999000	1.260163e+03
BM_104	30	9.100205e+01	1228.jpg	2016.jpg	36	45	u	999000	1.616819e+03
BM_104	31	9.400544e+01	2155.jpg	2201.jpg	67	71	u	999000	1.165414e+03
