subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	FixationTime	Contingency
BM_109	NaN	1	1	1	1	NaN	2016.jpg	2094.jpg	9	16	0	NaN	1	NaN	NaN	0.8238302	0.7608743	NaN	1
BM_109	NaN	1	1	1	2	NaN	1220.jpg	1182.jpg	37	39	0	NaN	4	NaN	NaN	0.5038419	0.4958707	NaN	1
BM_109	NaN	1	1	1	3	NaN	2118.jpg	2053.jpg	12	13	0	NaN	1	NaN	NaN	0.7975036	0.7853989	NaN	1
BM_109	NaN	1	1	1	4	NaN	1220.jpg	2217.jpg	37	38	0	NaN	4	NaN	NaN	0.5038419	0.5012623	NaN	1
BM_109	NaN	1	1	1	5	NaN	2118.jpg	2063.jpg	12	11	0	NaN	1	NaN	NaN	0.7975036	0.8097405	NaN	1
BM_109	NaN	1	1	1	6	NaN	1173.jpg	2024.jpg	62	57	1	NaN	7	NaN	NaN	0.3090221	0.3589058	NaN	0.5
BM_109	NaN	1	1	1	7	NaN	1115.jpg	1173.jpg	61	62	0	NaN	7	NaN	NaN	0.3169523	0.3090221	NaN	0.5
BM_109	NaN	1	1	1	8	NaN	2063.jpg	2010.jpg	11	15	1	NaN	1	NaN	NaN	0.8097405	0.7644654	NaN	1
BM_109	NaN	1	1	1	9	NaN	1050.jpg	1207.jpg	49	51	1	NaN	6	NaN	NaN	0.39744	0.3934886	NaN	0.5
BM_109	NaN	1	1	1	10	NaN	2112.jpg	2094.jpg	14	16	0	NaN	1	NaN	NaN	0.7737969	0.7608743	NaN	1
BM_109	NaN	1	1	1	11	NaN	1150.jpg	1028.jpg	52	54	1	NaN	6	NaN	NaN	0.3886269	0.3665517	NaN	0.5
BM_109	NaN	1	1	1	12	NaN	1192.jpg	1254.jpg	41	43	0	NaN	5	NaN	NaN	0.4836472	0.4771473	NaN	1
BM_109	NaN	1	1	1	13	NaN	2089.jpg	2212.jpg	27	32	1	NaN	3	NaN	NaN	0.619986	0.568658	NaN	0.5
BM_109	NaN	1	1	1	14	NaN	2058.jpg	2248.jpg	35	33	0	NaN	4	NaN	NaN	0.5417041	0.5487393	NaN	1
BM_109	NaN	1	1	1	15	NaN	1183.jpg	2111.jpg	72	70	0	NaN	8	NaN	NaN	0.18653	0.219139	NaN	1
BM_109	NaN	1	1	1	16	NaN	2015.jpg	2039.jpg	55	56	0	NaN	6	NaN	NaN	0.3604286	0.3601033	NaN	0.5
BM_109	NaN	1	1	1	17	NaN	2221.jpg	2209.jpg	20	22	1	NaN	2	NaN	NaN	0.6982239	0.6576153	NaN	0.5
BM_109	NaN	1	1	1	18	NaN	1254.jpg	1216.jpg	43	46	1	NaN	5	NaN	NaN	0.4771473	0.4287286	NaN	1
BM_109	NaN	1	1	1	19	NaN	1146.jpg	1204.jpg	71	69	1	NaN	8	NaN	NaN	0.2006937	0.2309653	NaN	1
BM_109	NaN	1	1	1	20	NaN	2155.jpg	2221.jpg	23	20	0	NaN	2	NaN	NaN	0.6557628	0.6982239	NaN	0.5
BM_109	NaN	1	1	1	21	NaN	1073.jpg	2089.jpg	25	27	0	NaN	3	NaN	NaN	0.6409097	0.619986	NaN	0.5
BM_109	NaN	1	1	1	22	NaN	1073.jpg	1114.jpg	25	31	0	NaN	3	NaN	NaN	0.6409097	0.5792628	NaN	0.5
BM_109	NaN	1	1	1	23	NaN	2240.jpg	2209.jpg	21	22	1	NaN	2	NaN	NaN	0.695641	0.6576153	NaN	0.5
BM_109	NaN	1	1	1	24	NaN	1220.jpg	2248.jpg	37	33	0	NaN	4	NaN	NaN	0.5038419	0.5487393	NaN	1
BM_109	NaN	1	1	1	25	NaN	1114.jpg	2212.jpg	31	32	1	NaN	3	NaN	NaN	0.5792628	0.568658	NaN	0.5
BM_109	NaN	1	1	1	26	NaN	1031.jpg	2249.jpg	30	29	1	NaN	3	NaN	NaN	0.5914393	0.6021423	NaN	0.5
BM_109	NaN	1	1	1	27	NaN	1144.jpg	1216.jpg	45	46	1	NaN	5	NaN	NaN	0.4341273	0.4287286	NaN	1
BM_109	NaN	1	1	1	28	NaN	2118.jpg	2094.jpg	12	16	0	NaN	1	NaN	NaN	0.7975036	0.7608743	NaN	1
BM_109	NaN	1	1	1	29	NaN	1145.jpg	1050.jpg	50	49	0	NaN	6	NaN	NaN	0.3956255	0.39744	NaN	0.5
BM_109	NaN	1	1	1	30	NaN	1192.jpg	1130.jpg	41	48	0	NaN	5	NaN	NaN	0.4836472	0.405858	NaN	1
BM_109	NaN	1	1	1	31	NaN	1130.jpg	1255.jpg	48	47	1	NaN	5	NaN	NaN	0.405858	0.415746	NaN	1
BM_109	NaN	1	1	1	32	NaN	1145.jpg	1150.jpg	50	52	0	NaN	6	NaN	NaN	0.3956255	0.3886269	NaN	0.5
BM_109	NaN	1	1	1	33	NaN	2149.jpg	1027.jpg	59	60	1	NaN	7	NaN	NaN	0.333929	0.329973	NaN	0.5
BM_109	NaN	1	1	1	34	NaN	1031.jpg	2041.jpg	30	28	1	NaN	3	NaN	NaN	0.5914393	0.6113315	NaN	0.5
BM_109	NaN	1	1	1	35	NaN	2164.jpg	2006.jpg	17	19	1	NaN	2	NaN	NaN	0.7530197	0.744864	NaN	0.5
BM_109	NaN	1	1	1	36	NaN	2010.jpg	2053.jpg	15	13	0	NaN	1	NaN	NaN	0.7644654	0.7853989	NaN	1
BM_109	NaN	1	1	1	37	NaN	2010.jpg	2124.jpg	15	10	0	NaN	1	NaN	NaN	0.7644654	0.8170299	NaN	1
BM_109	NaN	1	1	1	38	NaN	2164.jpg	2218.jpg	17	18	1	NaN	2	NaN	NaN	0.7530197	0.7468548	NaN	0.5
BM_109	NaN	1	1	1	39	NaN	1183.jpg	1228.jpg	72	65	0	NaN	8	NaN	NaN	0.18653	0.2751792	NaN	1
BM_109	NaN	1	1	1	40	NaN	2128.jpg	2249.jpg	26	29	1	NaN	3	NaN	NaN	0.6269318	0.6021423	NaN	0.5
BM_109	NaN	1	1	1	41	NaN	1060.jpg	1173.jpg	64	62	0	NaN	7	NaN	NaN	0.2781255	0.3090221	NaN	0.5
BM_109	NaN	1	1	1	42	NaN	2249.jpg	2089.jpg	29	27	0	NaN	3	NaN	NaN	0.6021423	0.619986	NaN	0.5
BM_109	NaN	1	1	1	43	NaN	1027.jpg	1173.jpg	60	62	0	NaN	7	NaN	NaN	0.329973	0.3090221	NaN	0.5
BM_109	NaN	1	1	1	44	NaN	2240.jpg	2218.jpg	21	18	1	NaN	2	NaN	NaN	0.695641	0.7468548	NaN	0.5
BM_109	NaN	1	1	1	45	NaN	1182.jpg	2229.jpg	39	34	1	NaN	4	NaN	NaN	0.4958707	0.5433932	NaN	1
BM_109	NaN	1	1	1	46	NaN	1145.jpg	2039.jpg	50	56	0	NaN	6	NaN	NaN	0.3956255	0.3601033	NaN	0.5
BM_109	NaN	1	1	1	47	NaN	1207.jpg	2039.jpg	51	56	0	NaN	6	NaN	NaN	0.3934886	0.3601033	NaN	0.5
BM_109	NaN	1	1	1	48	NaN	2149.jpg	1115.jpg	59	61	1	NaN	7	NaN	NaN	0.333929	0.3169523	NaN	0.5
BM_109	NaN	1	1	1	49	NaN	1210.jpg	1127.jpg	68	66	1	NaN	8	NaN	NaN	0.2448103	0.2621012	NaN	1
BM_109	NaN	1	1	1	50	NaN	2110.jpg	1060.jpg	63	64	1	NaN	7	NaN	NaN	0.2888985	0.2781255	NaN	0.5
BM_109	NaN	1	1	1	51	NaN	2024.jpg	2110.jpg	57	63	0	NaN	7	NaN	NaN	0.3589058	0.2888985	NaN	0.5
BM_109	NaN	1	1	1	52	NaN	2221.jpg	2006.jpg	20	19	1	NaN	2	NaN	NaN	0.6982239	0.744864	NaN	0.5
BM_109	NaN	1	1	1	53	NaN	2043.jpg	2209.jpg	24	22	1	NaN	2	NaN	NaN	0.641825	0.6576153	NaN	0.5
BM_109	NaN	1	1	1	54	NaN	1204.jpg	1228.jpg	69	65	0	NaN	8	NaN	NaN	0.2309653	0.2751792	NaN	1
BM_109	NaN	1	1	1	55	NaN	1007.jpg	1144.jpg	44	45	0	NaN	5	NaN	NaN	0.4366089	0.4341273	NaN	1
BM_109	NaN	1	1	1	56	NaN	1007.jpg	1254.jpg	44	43	0	NaN	5	NaN	NaN	0.4366089	0.4771473	NaN	1
BM_109	NaN	1	1	1	57	NaN	1146.jpg	1183.jpg	71	72	1	NaN	8	NaN	NaN	0.2006937	0.18653	NaN	1
