Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency
BM_110	1	0.9230492	1035.jpg	9	0	0
BM_110	2	0.889125	2063.jpg	54	0	0
BM_110	3	0.8778264	1255.jpg	39	0	0
BM_110	4	0.8656102	2154.jpg	66	0	0
BM_110	5	0.8634165	2045.jpg	50	0	0
BM_110	6	0.8519854	1114.jpg	16	0	0
BM_110	7	0.8486677	2016.jpg	45	0	0
BM_110	8	0.8435071	2249.jpg	80	0	0
BM_110	9	0.8386978	2153.jpg	65	1	0
BM_110	10	0.8191605	2125.jpg	62	1	1
BM_110	11	0.8076102	2039.jpg	47	1	1
BM_110	12	0.8026504	2054.jpg	52	1	0
BM_110	13	0.7985247	1050.jpg	10	1	0
BM_110	14	0.7799464	2124.jpg	61	1	1
BM_110	15	0.7797619	2248.jpg	79	1	1
BM_110	16	0.7628105	2212.jpg	73	1	0
BM_110	17	0.7583155	2058.jpg	53	2	0
BM_110	18	0.7539346	2181.jpg	69	2	0.5
BM_110	19	0.710377	1262.jpg	40	2	0.5
BM_110	20	0.6894447	2015.jpg	44	2	0
BM_110	21	0.6226828	2008.jpg	42	2	0.5
BM_110	22	0.6161593	2111.jpg	58	2	0
BM_110	23	0.6117769	1031.jpg	8	2	0
BM_110	24	0.6026688	2128.jpg	63	2	0.5
BM_110	25	0.6019732	1207.jpg	31	3	0
BM_110	26	0.5959242	1017.jpg	4	3	0.5
BM_110	27	0.5954056	2094.jpg	56	3	0.5
BM_110	28	0.5879256	2155.jpg	67	3	0
BM_110	29	0.5865528	1254.jpg	38	3	0
BM_110	30	0.5854122	2201.jpg	71	3	0.5
BM_110	31	0.5812125	2118.jpg	60	3	0.5
BM_110	32	0.5796336	1028.jpg	7	3	0
BM_110	33	0.5741019	2006.jpg	41	4	1
BM_110	34	0.5665279	1182.jpg	25	4	0
BM_110	35	0.5627567	1060.jpg	13	4	0
BM_110	36	0.5533527	2164.jpg	68	4	1
BM_110	37	0.5499967	2010.jpg	43	4	0
BM_110	38	0.5456429	2217.jpg	74	4	1
BM_110	39	0.5271112	1216.jpg	33	4	1
BM_110	40	0.5214429	2053.jpg	51	4	0
BM_110	41	0.5206719	1145.jpg	21	5	0
BM_110	42	0.5205888	2209.jpg	72	5	0.5
BM_110	43	0.5160854	2221.jpg	76	5	0.5
BM_110	44	0.5043234	2240.jpg	78	5	0
BM_110	45	0.4874603	2024.jpg	46	5	0.5
BM_110	46	0.4606395	1191.jpg	27	5	0
BM_110	47	0.4605374	2043.jpg	49	5	0
BM_110	48	0.4574094	1115.jpg	17	5	0.5
BM_110	49	0.4515263	1202.jpg	29	6	0
BM_110	50	0.4512277	2112.jpg	59	6	1
BM_110	51	0.4472072	1146.jpg	22	6	1
BM_110	52	0.4300267	2229.jpg	77	6	0
BM_110	53	0.4289417	1226.jpg	35	6	0
BM_110	54	0.4285667	1144.jpg	20	6	1
BM_110	55	0.3751228	2218.jpg	75	6	1
BM_110	56	0.3615549	2041.jpg	48	6	0
BM_110	57	0.3470463	2089.jpg	55	7	1
BM_110	58	0.3378782	1019.jpg	5	7	0
BM_110	59	0.3220617	1246.jpg	37	7	0
BM_110	60	0.2986771	2194.jpg	70	7	1
BM_110	61	0.2938807	1007.jpg	1	7	1
BM_110	62	0.2909786	1220.jpg	34	7	0
BM_110	63	0.2858998	1027.jpg	6	7	0
BM_110	64	0.2687839	1013.jpg	3	7	1
BM_110	65	0.2368762	1073.jpg	14	8	0.5
BM_110	66	0.223333	1057.jpg	12	8	0
BM_110	67	0.1964141	1210.jpg	32	8	0
BM_110	68	0.1858158	1183.jpg	26	8	0.5
BM_110	69	0.1822209	1052.jpg	11	8	0.5
BM_110	70	0.1715376	1192.jpg	28	8	0
BM_110	71	0.1702394	1080.jpg	15	8	0
BM_110	72	0.1570282	2149.jpg	64	8	0.5
BM_110	73	0.1515298	1127.jpg	18	0	0
BM_110	74	0.1455328	1009.jpg	2	0	0
BM_110	75	0.1363072	1204.jpg	30	0	0
BM_110	76	0.1109194	1173.jpg	24	0	0
BM_110	77	0.1097965	1130.jpg	19	0	0
BM_110	78	0.08808812	1150.jpg	23	0	0
BM_110	79	0.08130847	1228.jpg	36	0	0
BM_110	80	0.07327396	2110.jpg	57	0	0
