Subject	StimName	StimNum	Rank	Wins	Loses	Total
BM_132	1007.jpg	1	5.859238e-01	6	4	10
BM_132	1009.jpg	2	1.728745e-01	1	9	10
BM_132	1013.jpg	3	5.469020e-01	6	4	10
BM_132	1017.jpg	4	6.715396e-01	7	2	9
BM_132	1019.jpg	5	3.418589e-01	3	7	10
BM_132	1027.jpg	6	3.679926e-01	3	7	10
BM_132	1028.jpg	7	7.833365e-01	8	2	10
BM_132	1031.jpg	8	2.834649e-01	2	8	10
BM_132	1035.jpg	9	5.430865e-01	5	5	10
BM_132	1050.jpg	10	1.325026e-01	1	9	10
BM_132	1052.jpg	11	4.449705e-01	4	6	10
BM_132	1057.jpg	12	4.729474e-01	4	6	10
BM_132	1060.jpg	13	3.276839e-01	4	5	9
BM_132	1073.jpg	14	5.070771e-01	5	5	10
BM_132	1080.jpg	15	6.525587e-01	7	3	10
BM_132	1114.jpg	16	7.786051e-01	8	2	10
BM_132	1115.jpg	17	3.633354e-01	3	6	9
BM_132	1127.jpg	18	4.279988e-01	4	6	10
BM_132	1130.jpg	19	7.106576e-01	7	3	10
BM_132	1144.jpg	20	5.217549e-01	5	5	10
BM_132	1145.jpg	21	4.611643e-01	4	6	10
BM_132	1146.jpg	22	4.230521e-01	3	6	9
BM_132	1150.jpg	23	3.581605e-01	4	6	10
BM_132	1173.jpg	24	4.357242e-01	5	5	10
BM_132	1182.jpg	25	5.913147e-01	6	4	10
BM_132	1183.jpg	26	3.407517e-01	3	7	10
BM_132	1191.jpg	27	4.633514e-01	4	6	10
BM_132	1192.jpg	28	4.517115e-01	3	6	9
BM_132	1202.jpg	29	4.842836e-01	4	6	10
BM_132	1204.jpg	30	3.660283e-01	3	7	10
BM_132	1207.jpg	31	6.544880e-01	7	3	10
BM_132	1210.jpg	32	3.405745e-01	3	7	10
BM_132	1216.jpg	33	5.010419e-01	6	4	10
BM_132	1220.jpg	34	6.281641e-01	7	3	10
BM_132	1226.jpg	35	6.463508e-01	6	3	9
BM_132	1228.jpg	36	7.418524e-01	8	2	10
BM_132	1246.jpg	37	1.233776e-01	0	10	10
BM_132	1254.jpg	38	4.137337e-01	5	5	10
BM_132	1255.jpg	39	5.564201e-01	6	4	10
BM_132	1262.jpg	40	6.057279e-01	6	4	10
BM_132	2006.jpg	41	5.431539e-01	6	4	10
BM_132	2008.jpg	42	3.400541e-01	3	7	10
BM_132	2010.jpg	43	6.935153e-01	7	3	10
BM_132	2015.jpg	44	2.851356e-01	3	7	10
BM_132	2016.jpg	45	5.937798e-01	5	4	9
BM_132	2024.jpg	46	4.441893e-01	3	5	8
BM_132	2039.jpg	47	4.499886e-01	5	5	10
BM_132	2041.jpg	48	6.232062e-01	6	4	10
BM_132	2043.jpg	49	3.682097e-01	3	7	10
BM_132	2045.jpg	50	6.834260e-01	7	3	10
BM_132	2053.jpg	51	5.703675e-01	6	4	10
BM_132	2054.jpg	52	6.918191e-01	8	2	10
BM_132	2058.jpg	53	3.307694e-01	3	7	10
BM_132	2063.jpg	54	1.596389e-01	1	9	10
BM_132	2089.jpg	55	3.010356e-01	3	7	10
BM_132	2094.jpg	56	1.846411e-01	1	9	10
BM_132	2110.jpg	57	7.953458e-01	9	1	10
BM_132	2111.jpg	58	3.707469e-01	3	7	10
BM_132	2112.jpg	59	3.395435e-01	3	7	10
BM_132	2118.jpg	60	7.645907e-01	8	2	10
BM_132	2124.jpg	61	5.312050e-01	5	5	10
BM_132	2125.jpg	62	7.312845e-01	8	2	10
BM_132	2128.jpg	63	7.025851e-01	7	3	10
BM_132	2149.jpg	64	4.368124e-01	4	6	10
BM_132	2153.jpg	65	7.508912e-01	8	2	10
BM_132	2154.jpg	66	7.167192e-01	8	2	10
BM_132	2155.jpg	67	5.298841e-01	5	4	9
BM_132	2164.jpg	68	6.346677e-01	7	3	10
BM_132	2181.jpg	69	3.515786e-01	4	6	10
BM_132	2194.jpg	70	5.863455e-01	6	4	10
BM_132	2201.jpg	71	6.110200e-01	7	3	10
BM_132	2209.jpg	72	6.340766e-01	7	3	10
BM_132	2212.jpg	73	2.792615e-01	3	7	10
BM_132	2217.jpg	74	4.413326e-01	4	6	10
BM_132	2218.jpg	75	6.160242e-01	6	4	10
BM_132	2221.jpg	76	8.599934e-01	9	1	10
BM_132	2229.jpg	77	4.963416e-01	5	5	10
BM_132	2240.jpg	78	5.470526e-01	6	4	10
BM_132	2248.jpg	79	2.590312e-01	2	8	10
BM_132	2249.jpg	80	5.263917e-01	5	5	10
