subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	FixationTime	Contingency	PlannedOnset	onset	duration
BM_141	0	1	1	1	1	4.00552692299243	1255.jpg	2240.jpg	60	58	1	u	7	1	679.967528005363	0.3341887	0.3402947	4.70625173498411	0.5	4	4.00552692299243	0.700724811991677
BM_141	0	1	1	1	2	7.70922188297845	2240.jpg	1013.jpg	58	57	0	i	7	1	688.271663006162	0.3402947	0.3464909	8.40787136598374	0.5	7.7	7.70922188297845	0.698649483005283
BM_141	0	1	1	1	3	11.2959866019955	2217.jpg	1019.jpg	48	41	0	u	5	0	621.507087984355	0.3899227	0.4886151	11.9301393149944	1	11.3	11.2959866019955	0.634152712998912
BM_141	0	1	1	1	4	15.1010683149798	1007.jpg	1183.jpg	69	67	1	i	8	0	680.416543997126	0.2548895	0.263429	15.8010649519856	1	15.1	15.1010683149798	0.699996637005825
BM_141	0	1	1	1	5	20.3068973929912	1145.jpg	2118.jpg	34	33	0	i	4	1	826.59787099692	0.5366406	0.5690408	21.1576671859948	1	20.3	20.3068973929912	0.850769793003565
BM_141	0	1	1	1	6	23.8108329369861	2006.jpg	2024.jpg	21	23	1	u	2	1	730.651115009096	0.698629	0.6825506	24.5613190989825	0.5	23.8	23.8108329369861	0.750486161996378
BM_141	0	1	1	1	7	26.8970016969834	1127.jpg	2110.jpg	61	59	1	u	7	1	708.506605995353	0.3336991	0.3349046	27.6136769469886	0.5	26.9	26.8970016969834	0.71667525000521
BM_141	0	1	1	1	8	31.2018132599769	2045.jpg	2058.jpg	40	35	1	i	4	0	963.680504995864	0.4990589	0.5321871	32.1859961369773	1	31.2	31.2018132599769	0.984182877000421
BM_141	0	1	1	1	9	36.6080940149841	2024.jpg	2212.jpg	23	20	0	x	2	999	999000	0.6825506	0.6991636	38.1101608339814	0.5	36.6	36.6080940149841	1.50206681899726
BM_141	0	1	1	1	10	39.9955653099751	1226.jpg	1007.jpg	70	69	0	i	8	1	1009.92828301969	0.2450206	0.2548895	41.0120645549905	1	40	39.9955653099751	1.01649924501544
BM_141	0	1	1	1	11	45.3010331649857	2089.jpg	2125.jpg	13	11	0	i	1	1	1256.46117699216	0.7695678	0.7871368	46.5681431679986	1	45.3	45.3010331649857	1.26711000301293
BM_141	0	1	1	1	12	53.7105188999849	2149.jpg	1130.jpg	56	54	1	u	6	1	758.973852993222	0.3470984	0.3540342	54.4819627599791	0.5	53.7	53.7105188999849	0.771443859994179
BM_141	0	1	1	1	13	59.3001492919866	2154.jpg	2218.jpg	24	18	1	i	2	0	921.338623011252	0.6740314	0.7466257	60.2343014069775	0.5	59.3	59.3001492919866	0.934152114990866
BM_141	0	1	1	1	14	62.6044509089843	1202.jpg	2045.jpg	39	40	0	u	4	0	713.032171013765	0.5071949	0.4990589	63.3376558909949	1	62.6	62.6044509089843	0.733204982010648
BM_141	0	1	1	1	15	66.7086415489903	1191.jpg	1027.jpg	49	51	1	i	6	0	928.841966990149	0.3890935	0.371023	67.6591623989807	0.5	66.7	66.7086415489903	0.950520849990426
BM_141	0	1	1	1	16	70.5970030379831	2212.jpg	2218.jpg	20	18	1	u	2	1	696.48149900604	0.6991636	0.7466257	71.3142469209852	0.5	70.6	70.5970030379831	0.717243883002084
BM_141	0	1	1	1	17	74.8012366799812	1050.jpg	2054.jpg	27	28	1	i	3	0	964.25854699919	0.6246722	0.6220144	75.7855913819803	0.5	74.8	74.8012366799812	0.984354701999109
