subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
BM_105	1	4.004509e+00	2006.jpg	2054.jpg	41	52	i	999000	6.089717e+02
BM_105	2	7.007891e+00	1150.jpg	2221.jpg	23	76	u	999000	1.053598e+03
BM_105	3	9.994598e+00	1255.jpg	2229.jpg	39	77	u	999000	9.708896e+02
BM_105	4	1.299798e+01	2043.jpg	2024.jpg	49	46	i	999000	8.475268e+02
BM_105	5	1.600127e+01	2124.jpg	2045.jpg	61	50	u	999000	1.228219e+03
BM_105	6	1.900461e+01	1144.jpg	2118.jpg	20	60	i	999000	9.688773e+02
BM_105	7	2.200805e+01	1146.jpg	1254.jpg	22	38	u	999000	8.214320e+02
BM_105	8	2.499479e+01	2039.jpg	1031.jpg	47	8	u	999000	9.466807e+02
BM_105	9	2.799811e+01	1127.jpg	2010.jpg	18	43	i	999000	1.159374e+03
BM_105	10	3.100148e+01	1202.jpg	2111.jpg	29	58	i	999000	6.040225e+02
BM_105	11	3.400480e+01	1050.jpg	2094.jpg	10	56	u	999000	9.852731e+02
BM_105	12	3.700828e+01	2128.jpg	1073.jpg	63	14	u	999000	5.892092e+02
BM_105	13	3.999493e+01	1114.jpg	2201.jpg	16	71	u	999000	9.945337e+02
BM_105	14	4.299830e+01	2008.jpg	1216.jpg	42	33	i	999000	1.183183e+03
BM_105	15	4.600165e+01	1028.jpg	1191.jpg	7	27	u	999000	1.275835e+03
BM_105	16	4.900507e+01	1173.jpg	1220.jpg	24	34	i	999000	6.404226e+02
BM_105	17	5.200839e+01	1009.jpg	1060.jpg	2	13	u	999000	7.251014e+02
BM_105	18	5.499506e+01	1007.jpg	2015.jpg	1	44	i	999000	5.944251e+02
BM_105	19	5.799840e+01	2016.jpg	1019.jpg	45	5	u	999000	5.830717e+02
BM_105	20	6.100176e+01	2218.jpg	2154.jpg	75	66	i	999000	5.797255e+02
BM_105	21	6.400523e+01	2194.jpg	1228.jpg	70	36	u	999000	8.482549e+02
BM_105	22	6.700862e+01	2240.jpg	2155.jpg	78	67	i	999000	5.488658e+02
